Do you speak English? [pol],¿Habla inglés?
I don’t understand.,No entiendo.
What does _____ mean?,¿Qué significa _____ ?
Do you speak English? [inf],¿Hablas inglés?
Does anyone speak English?,¿Hay alguien que hable inglés?
I don't speak Spanish.,No hablo español.
I speak a little.,Hablo un poquito.
Do you understand? [pol],¿Me entiende?
I understand.,Entiendo.
How do you pronounce this?,¿Cómo se pronuncia esto?
How do you write _____ ?,¿Cómo se escribe _____ ?
Could you please repeat that?,"¿Puede repetirlo, por favor?"
Could you please speak more slowly?,"¿Puede hablar más despacio, por favor?"
Could you please write it down?,"¿Puede escribirlo, por favor?"
How much?,¿Cuánto/Cuánto?
How many?,¿Cuantos/Cuantas?
What time is it?,¿Qué hora es?
It’s one o’clock.,Es la una.
It’s ten o’clock.,Son las diez.
It’s a quarter past one.,Es la una y cuarto.
It’s a quarter to one.,Es un cuarto para la una.
It’s twenty past one.,Es la una y veinte.
It’s half past eight.,Son las ocho y media.
It’s twenty to ten.,Son veinte para las diez.
It’s a quarter to three.,Son cuarto para las tres.
At one o’clock.,A la una.
At eight o’clock.,A las ocho.
At 4:40pm.,A las cuatro y cuarenta de la tarde.
