"id","word","answer"
"1","to leave","abandonar"
"2","to open","abrir"
"3","to end","acabar"
"4","to accept","aceptar"
"5","to bring over","acercar"
"6","to accompany","acompañar"
"7","to act","actuar"
"8","to go to","acudir"
"9","to affect","afectar"
"10","to claim","afirmar"
"11","to add","agregar"
"12","to reach","alcanzar"
"13","to analyze","analizar"
"14","to announce","anunciar"
"15","to apply","aplicar"
"16","to provide","aportar"
"17","to support","apoyar"
"18","to learn","aprender"
"19","to take advantage of","aprovechar"
"20","to point out","apuntar"
"21","to secure","asegurar"
"22","to attend","asistir"
"23","to link","asociar"
"24","to assume","asumir"
"25","to increase","aumentar"
"26","to advance","avanzar"
"27","to warn","avisar"
"28","to help","ayudar"
"29","to add","añadir"
"30","to download","bajar"
"31","to base","basar"
"32","to search","buscar"
"33","to change","cambiar"
"34","to walk","caminar"
"35","to sing","cantar"
"36","to cause","causar"
"37","to celebrate","celebrar"
"38","to quote","citar"
"39","to place","colocar"
"40","to comment","comentar"
"41","to eat","comer"
"42","to share","compartir"
"43","to buy","comprar"
"44","to understand","comprender"
"45","to confirm","confirmar"
"46","to consider","considerar"
"47","to consist of","consistir"
"48","to answer","contestar"
"49","to continue","continuar"
"50","to check","controlar"
"51","to run","correr"
"52","to correspond","corresponder"
"53","to cut","cortar"
"54","to create","crear"
"55","to believe","creer"
"56","to cross","cruzar"
"57","to cover","cubrir"
"58","to care","cuidar"
"59","to meet","cumplir"
"60","to must","deber"
"61","to decide","decidir"
"62","to declare","declarar"
"63","to dedicate","dedicar"
"64","to define","definir"
"65","to leave","dejar"
"66","to depend","depender"
"67","to develop","desarrollar"
"68","to describe","describir"
"69","to discover","descubrir"
"70","to wish","desear"
"71","to highlight","destacar"
"72","to determine","determinar"
"73","to enjoy","disfrutar"
"74","to cast out of","echar"
"75","to elaborate","elaborar"
"76","to use","emplear"
"77","to confront","enfrentar"
"78","to show","enseñar"
"79","to enter","entrar"
"80","to deliver","entregar"
"81","to send","enviar"
"82","to write","escribir"
"83","to listen to","escuchar"
"84","to wait","esperar"
"85","to study","estudiar"
"86","to avoid","evitar"
"87","to exist","existir"
"88","to explain","explicar"
"89","to express","expresar"
"90","to skip","faltar"
"91","to post","fijar"
"92","to sign","firmar"
"93","to form","formar"
"94","to work","funcionar"
"95","to win","ganar"
"96","to guarantee","garantizar"
"97","to generate","generar"
"98","to shout","gritar"
"99","to save","guardar"
"100","to speak","hablar"
"101","to find","hallar"
"102","to identify","identificar"
"103","to imagine","imaginar"
"104","to involve","implicar"
"105","to import","importar"
"106","to incorporate","incorporar"
"107","to indicate","indicar"
"108","to inform","informar"
"109","to start","iniciar"
"110","to insist","insistir"
"111","to install","instalar"
"112","to integrate","integrar"
"113","to try","intentar"
"114","to interest","interesar"
"115","to interpret","interpretar"
"116","to invite","invitar"
"117","to launch","lanzar"
"118","to raise","levantar"
"119","to limit","limitar"
"120","to call","llamar"
"121","to arrive","llegar"
"122","to fill out","llenar"
"123","to take","llevar"
"124","to cry","llorar"
"125","to achieve","lograr"
"126","to send","mandar"
"127","to manifest","manifestar"
"128","to mark","marcar"
"129","to improve","mejorar"
"130","to mention","mencionar"
"131","to tuck in","meter"
"132","to see","mirar"
"133","to move","mover"
"134","to be born","nacer"
"135","to need","necesitar"
"136","to note","notar"
"137","to force","obligar"
"138","to see","observar"
"139","to occupy","ocupar"
"140","to occur","ocurrir"
"141","to forget","olvidar"
"142","to order","ordenar"
"143","to organize","organizar"
"144","to pay","pagar"
"145","to stop","parar"
"146","to participate","participar"
"147","to start","partir"
"148","to pass by","pasar"
"149","to allow","permitir"
"150","to ask","preguntar"
"151","to concern","preocupar"
"152","to prepare","preparar"
"153","to present","presentar"
"154","to pretend","pretender"
"155","to publish","publicar"
"156","to stay","quedar"
"157","to remove","quitar"
"158","to make","realizar"
"159","to receive","recibir"
"160","to tour","recorrer"
"161","to retrieve","recuperar"
"162","to reflect","reflejar"
"163","to register","registrar"
"164","to return","regresar"
"165","to link","relacionar"
"166","to represent","representar"
"167","to solve","resolver"
"168","to answer","responder"
"169","to result","resultar"
"170","to withdraw","retirar"
"171","to gather","reunir"
"172","to reveal","revelar"
"173","to go around","rodear"
"174","to break","romper"
"175","to take out","sacar"
"176","to separate","separar"
"177","to point out","señalar"
"178","to mean","significar"
"179","to locate","situar"
"180","to request","solicitar"
"181","to submit","someter"
"182","to sound","sonar"
"183","to surprise","sorprender"
"184","to go up","subir"
"185","to suffer","sufrir"
"186","to add","sumar"
"187","to go beyond","superar"
"188","to finish","terminar"
"189","to throw away","tirar"
"190","to touch","tocar"
"191","to take","tomar"
"192","to work","trabajar"
"193","to transform","transformar"
"194","to try","tratar"
"195","to locate","ubicar"
"196","to join","unir"
"197","to use","usar"
"198","to use","utilizar"
"199","to sell","vender"
"200","to travel","viajar"
"201","to visit","visitar"
"202","to live","vivir"
