"id";"word";"answer"
"1";"I get up early.";"Me levanto temprano."
"2";"You get up at six.[sing, inf]";"Te levantas a las seis."
"3";"We go to bed after midnight.";"Nos acostamos después de medianoche."
"4";"She goes to bed very late.";"Se acuesta muy tarde."
"5";"He wakes up with the sun.";"Se despierta con el sol."
"6";"You wake up quickly.[sing, inf]";"Te despiertas rápido."
"7";"I fall asleep instantly.";"Me duermo al instante."
"8";"They fall asleep on the bus.";"Se duermen en el autobús."
"9";"You get dressed fast.[sing, inf]";"Te vistes rápido."
"10";"We get dressed for the party.";"Nos vestimos para la fiesta."
"11";"She takes a shower before work.";"Se ducha antes del trabajo."
"12";"I take a shower at night.";"Me ducho en la noche."
"13";"They bathe early.";"Se bañan temprano."
"14";"You bathe before dinner.[sing, formal]";"Se baña antes de la cena."
"15";"We wash our hands often.";"Nos lavamos las manos a menudo."
"16";"He washes his face every morning.";"Se lava la cara cada mañana."
"17";"I brush my teeth after eating.";"Me cepillo los dientes después de comer."
"18";"You brush your hair.[sing, inf]";"Te cepillas el cabello."
"19";"She combs her hair slowly.";"Se peina despacio."
"20";"We comb our hair before leaving.";"Nos peinamos antes de salir."
"21";"I sit near the window.";"Me siento cerca de la ventana."
"22";"They sit in the back.";"Se sientan atrás."
"23";"You stand up when they call you.[sing, formal]";"Se levanta cuando lo llaman."
"24";"We stand up together.";"Nos levantamos juntos."
"25";"I feel happy today.";"Me siento feliz hoy."
"26";"She feels tired.";"Se siente cansada."
"27";"He gets angry easily.";"Se enoja fácilmente."
"28";"We get angry sometimes.";"Nos enojamos a veces."
"29";"I get tired after work.";"Me canso después del trabajo."
"30";"They get tired quickly.";"Se cansan rápido."
"31";"You hurry every morning.[sing, inf]";"Te apuras cada mañana."
"32";"We hurry to catch the bus.";"Nos apuramos para alcanzar el autobús."
"33";"They stay at home.";"Se quedan en casa."
"34";"I stay here for now.";"Me quedo aquí por ahora."
"35";"You leave early.[sing, formal]";"Se va temprano."
"36";"We leave at noon.";"Nos vamos al mediodía."
"37";"I call myself David.";"Me llamo David."
"38";"They call themselves the winners.";"Se llaman los ganadores."
"39";"He becomes a doctor.";"Se hace doctor."
"40";"I become more patient.";"Me hago más paciente."
"41";"She becomes nervous.";"Se pone nerviosa."
"42";"You become quiet.[pl]";"Se ponen callados."
"43";"He becomes rude sometimes.";"Se vuelve grosero a veces."
"44";"We become more confident.";"Nos volvemos más confiados."
"45";"I realize the truth.";"Me doy cuenta de la verdad."
"46";"They realize the mistake.";"Se dan cuenta del error."
"47";"You remember the rule.[sing, inf]";"Te acuerdas de la regla."
"48";"We remember everything.";"Nos acordamos de todo."
"49";"I forget the address.";"Me olvido de la dirección."
"50";"You forget the keys.[pl]";"Se olvidan de las llaves."
"51";"They complain a lot.";"Se quejan mucho."
"52";"I complain when I'm tired.";"Me quejo cuando estoy cansado."
"53";"You worry too much.[sing, formal]";"Se preocupa demasiado."
"54";"We worry about the exam.";"Nos preocupamos por el examen."
"55";"They have fun at the party.";"Se divierten en la fiesta."
"56";"I have fun with friends.";"Me divierto con amigos."
"57";"We meet each other on Fridays.";"Nos conocemos los viernes."
"58";"They meet each other at school.";"Se conocen en la escuela."
"59";"We kiss each other goodbye.";"Nos besamos al despedirnos."
"60";"They kiss each other softly.";"Se besan suavemente."
