"id";"word";"answer"
"1";"A young architect named Javier turns thirty today.";"Un arquitecto joven llamado Javier cumple treinta hoy."
"2";"He insists on sustainable building design always.";"Él insiste en diseño de construcción sustentable siempre."
"3";"Does Javier unite different communities through buildings?";"¿Javier une diferentes comunidades a través de edificios?"
"4";"Yes, he unites people with thoughtful architecture.";"Sí, une gente con arquitectura considerada."
"5";"He climbs to the top of construction sites.";"Sube a la cima de los sitios de construcción."
"6";"Javier prints blueprints for his design team daily.";"Javier imprime planos para su equipo diariamente."
"7";"Does he omit details that others forget?";"¿Él omite detalles que otros olvidan?"
"8";"No, he never omits important structural considerations.";"No, nunca omite consideraciones estructurales importantes."
"9";"Javier departs for new construction projects monthly.";"Javier parte para nuevos proyectos mensualmente."
"10";"He discovers innovative solutions in unexpected places.";"Descubre soluciones innovadoras en lugares inesperados."
"11";"What does the architect discuss with his team?";"¿Qué discute el arquitecto con su equipo?"
"12";"He discusses every detail until perfection is clear.";"Discute cada detalle hasta que la perfección es clara."
"13";"I fulfill my responsibilities with dedication daily.";"Cumplo mis responsabilidades con dedicación diariamente."
"14";"You insist on quality work regardless of pressure.";"Tú insistes en trabajo de calidad sin presión."
"15";"She unites her family through monthly gatherings.";"Ella une a su familia mediante reuniones mensuales."
"16";"We climb mountains to understand natural landscapes.";"Subimos montañas para entender paisajes naturales."
"17";"They print materials for their important presentation.";"Imprimen materiales para su presentación importante."
"18";"I omit negative thoughts from my daily practice.";"Omito pensamientos negativos de mi práctica diaria."
"19";"Does he depart with hope in his heart?";"¿Él parte con esperanza en su corazón?"
"20";"Yes, he departs believing in better futures.";"Sí, parte creyendo en futuros mejores."
"21";"She discovers beauty in the smallest architectural details.";"Ella descubre belleza en los detalles más pequeños."
"22";"We discuss our vision for the community's future.";"Discutimos nuestra visión para el futuro comunitario."
"23";"They cover the building with protective materials.";"Cubren el edificio con materiales protectores."
"24";"What does Javier's work accomplish for people?";"¿Qué logra el trabajo de Javier para la gente?"
"25";"His buildings fulfill dreams of safe homes.";"Sus edificios cumplen sueños de hogares seguros."
"26";"I insist that architecture serves human needs.";"Insisto que la arquitectura sirve necesidades humanas."
"27";"You unite diverse perspectives into one vision.";"Tú unes perspectivas diversas en una visión."
"28";"She climbs the ladder of success with grace.";"Ella sube la escalera del éxito con gracia."
"29";"Javier's buildings cover the city with beauty.";"Los edificios de Javier cubren la ciudad con belleza."
"30";"His legacy discovers humanity within every structure.";"Su legado descubre humanidad dentro de cada estructura."
