word,answer
no,no
"already, still",ya
"very, really",muy
yes,sí
also,también
when,cuando
like that,así
"so, then",entonces
well,bien
now,ahora
where,donde
"only, just",sólo
"always, forever",siempre
well,bueno
"such, as, too, so",tan
after,después
here,aquí
when?,cuándo
"later, afterwards",luego
how?,cómo
"also, as well, besides",además
"never, ever",nunca
where?,dónde
"almost, nearly",casi
"today, nowadays",hoy
there,ahí
before,antes
"there, over there",allí
nevertheless,embargo
front,frente
"still, yet",aún
"still, yet",todavía
"out, outside, away",fuera
"there, over there",allá
"including, even (ADV)",incluso
"perhaps, maybe",quizás
"neither, nor, either",tampoco
"soon, quick",pronto
"really, actually, in fact",realmente
badly,mal
late,tarde
"hardly, barely",apenas
too much,demasiado
only,solamente
inside,dentro
"back, behind, ago",atrás
even (if),siquiera
yesterday,ayer
never,jamás
"up, above",arriba
"forward, further",adelante
"simply, just",simplemente
especially,especialmente
"down, below, downward",abajo
precisely,precisamente
tomorrow,mañana
"far (away, off)",lejos
"totally, completely",totalmente
"finally, at last",finalmente
often,menudo
"recently, just",recién
"here, around here",acá
"now, at present",actualmente
"close, near",cerca
exactly,exactamente
practically,prácticamente
"above, on top, in addition",encima
completely,completamente
"directly, straight away",directamente
"surely, securely",seguramente
"however, nevertheless",obstante
"apart, aside, separately",aparte
"by chance, maybe",acaso
probably,probablemente
"generally, usually",generalmente
outside,afuera
immediately,inmediatamente
"absolutely, completely",absolutamente
approximately,aproximadamente
"rapidly, quickly",rápidamente
just,justo
"anew, again",nuevamente
perfectly,perfectamente
"even (though), still",aun
inside,adentro
"principally, mainly",principalmente
normally,normalmente
"(in) front (of), ahead",delante
afterwards,posteriormente
"as well, also, moreover",asimismo
"in fact, actually, indeed",efectivamente
suddenly,repente
naturally,naturalmente
slowly,lentamente
truly,verdaderamente
only,únicamente
"of course, clearly",claro
"evidently, obviously",evidentemente
"just, exactly",justamente
behind,detrás
clearly,claramente
"definitely, finally",definitivamente
recently,recientemente
possibly,posiblemente
equally,igualmente
"fundamentally, basically",fundamentalmente
"about, around, round",alrededor
easily,fácilmente
"including, even",inclusive
personally,personalmente
"profoundly, deeply",profundamente
previously,anteriormente
exclusively,exclusivamente
relatively,relativamente
"right away, at once",seguida
apparently,aparentemente
simply,sencillamente
"extremely, highly",sumamente
constantly,constantemente
necessarily,necesariamente
"particularly, personally",particularmente
"lately, recently",últimamente
"immediately, at once",enseguida
last night,anoche
obviously,obviamente
"right now, in a minute",ahorita
enough,suficientemente
logically,lógicamente
basically,básicamente
respectively,respectivamente
in front (of),enfrente
unfortunately,desgraciadamente
"specifically, exactly",concretamente
"certainly, indeed",ciertamente
regrettably,lamentablemente
softly,suavemente
fully,plenamente
"slightly, lightly",ligeramente
"doubtless, undoubtedly",indudablemente
"exactly, properly",propiamente
"supposedly, allegedly",supuestamente
"luckily, fortunately",afortunadamente
sincerely,sinceramente
specifically,específicamente
continuously,continuamente
previously,previamente
automatically,automáticamente
independently,independientemente
freely,libremente
initially,inicialmente
to where?,adónde
officially,oficialmente
"frequently, often",frecuentemente
daily,diariamente
correctly,correctamente
"successively, one by one",sucesivamente
"frankly, openly",francamente
strictly,estrictamente
carefully,cuidadosamente
economically,económicamente
habitually,habitualmente
extremely,extremadamente
strongly,fuertemente
"publicly, in public",públicamente
simultaneously,simultáneamente
"calmly, peacefully",tranquilamente
widely,ampliamente
enormously,enormemente
"strangely, funnily enough",curiosamente
literally,literalmente
"purely, simply",puramente
essentially,esencialmente
traditionally,tradicionalmente
permanently,permanentemente
politically,políticamente
physically,físicamente
"beforehand, in advance",antemano
seriously,seriamente
"full, sick of",harto
legally,legalmente
with difficulty,difícilmente
