"id";"word";"answer"
"1";"Title: Afternoon Tasks At The Community Center";"Tareas De La Tarde En El Centro Comunitario"
"2";"I carry many flyers for today’s event.";"Llevo muchos volantes para el evento de hoy."
"3";"The room has much noise from practice.";"El salón tiene mucho ruido por la práctica."
"4";"Only a little space remains near reception.";"Solo queda poco espacio cerca de recepción."
"5";"I am going to choose the better table.";"Voy a elegir la mesa mejor."
"6";"The worse chairs stay stacked in the corner.";"Las sillas peores quedan apiladas en la esquina."
"7";"The better lights brighten the main hallway.";"Las luces mejores iluminan el pasillo principal."
"8";"The worse bulbs flicker near the back door.";"Los focos peores parpadean cerca de la puerta trasera."
"9";"We are going to prepare an easy activity.";"Vamos a preparar una actividad fácil."
"10";"The difficult part is organizing the groups.";"La parte difícil es organizar los grupos."
"11";"A possible schedule forms on the whiteboard.";"Un horario posible se forma en el pizarrón."
"12";"An impossible deadline appears on the form.";"Una fecha imposible aparece en el formulario."
"13";"The important papers sit ready on the desk.";"Los papeles importantes están listos en el escritorio."
"14";"We are going to print the necessary copies.";"Vamos a imprimir las copias necesarias."
"15";"A true smile spreads across the lobby.";"Una sonrisa verdadera se extiende por el vestíbulo."
"16";"A false rumor moves quietly through volunteers.";"Un rumor falso corre silenciosamente entre los voluntarios."
"17";"The correct box holds the name tags.";"La caja correcta tiene los gafetes."
"18";"The incorrect labels stay hidden in storage.";"Las etiquetas incorrectas quedan escondidas en bodega."
"19";"We are going to check the clear signs.";"Vamos a revisar los letreros claros."
"20";"The dark hallway leads to the supply room.";"El pasillo oscuro lleva al cuarto de suministros."
"21";"A strong breeze enters as I open windows.";"Una brisa fuerte entra cuando abro las ventanas."
