"Title: Evening At Home";"Noche En Casa"
"I generate a calm playlist for dinner."; "Genero una lista tranquila para la cena."
"You shout to ask who wants dessert. [sing, formal]"; "Grita para preguntar quién quiere postre."
"We find the missing spoon in the drawer."; "Hallamos la cuchara perdida en el cajón."
"They identify the smell coming from the oven."; "Identifican el olor que viene del horno."
"I imagine a quiet night after eating."; "Imagino una noche tranquila después de cenar."
"You involve the kids in setting the table. [sing, inf]"; "Implicas a los niños en poner la mesa."
"We import the photos from today."; "Importamos las fotos de hoy."
"They incorporate music into the evening routine."; "Incorporan música en la rutina de la noche."
"You indicate where to place the plates. [pl]"; "Indican dónde colocar los platos."
"We install a new bulb in the kitchen."; "Instalamos un foco nuevo en la cocina."
"I integrate a new recipe into the menu."; "Integro una receta nueva al menú."
"They try a different seasoning for the soup."; "Intentan un condimento diferente para la sopa."
"You interest everyone with your story. [sing, formal]"; "Interesa a todos con su historia."
"We interpret the instructions for the dessert."; "Interpretamos las instrucciones del postre."
"They invite the neighbors for a quick visit."; "Invitan a los vecinos a una visita rápida."
"I launch a joke to make everyone laugh."; "Lanzo un chiste para hacer reír a todos."
"You raise the curtains to let air in. [sing, inf]"; "Levantas las cortinas para dejar entrar aire."
"We limit the sugar in the recipe."; "Limitamos el azúcar en la receta."
"They fill out a small card for a game."; "Llenan una tarjetita para un juego."
"You cry a little during a sweet moment. [pl]"; "Lloran un poco durante un momento tierno."
"We achieve a peaceful evening."; "Logramos una noche tranquila."
"They manifest their gratitude for dinner."; "Manifestan su agradecimiento por la cena."
"I mark the leftovers for tomorrow."; "Marco las sobras para mañana."
"You tuck in the napkins in the drawer. [sing, formal]"; "Mete las servilletas en el cajón."
"We move the chairs back to their place."; "Movemos las sillas a su lugar."
"They are going to imagine a new recipe tomorrow."; "Van a imaginar una receta nueva mañana."
"You are going to install the new lamp later. [sing, inf]"; "Vas a instalar la lámpara nueva más tarde."
"We are going to celebrate the weekend soon."; "Vamos a celebrar el fin de semana pronto."
