"id";"word";"answer"
"1";"She dances at the big party.";"(ella) baila en la fiesta grande"
"2";"She changes her small room.";"(ella) cambia su cuarto pequeño"
"3";"She enters the quiet house.";"(ella) entra a la casa tranquila"
"4";"She wins the small prize.";"(ella) gana el premio pequeño"
"5";"She carries the heavy box.";"(ella) lleva la caja pesada"
"6";"She shows the small photo.";"(ella) muestra la foto pequeña"
"7";"She pays the bus fare.";"(ella) paga el pasaje del autobús"
"8";"She stays in the warm room.";"(ella) queda en el cuarto cálido"
"9";"She plays the small guitar.";"(ella) toca la guitarra pequeña"
"10";"She uses a red notebook.";"(ella) usa un cuaderno rojo"
"11";"We dance in the warm room.";"(nosotros) bailamos en el cuarto cálido"
"12";"We look for the lost keys.";"(nosotros) buscamos las llaves perdidas"
"13";"We cancel the noisy event.";"(nosotros) cancelamos el evento ruidoso"
"14";"We cook a simple soup.";"(nosotros) cocinamos una sopa simple"
"15";"We rest in the cool shade.";"(nosotros) descansamos en la sombra fresca"
"16";"We wait in the warm room.";"(nosotros) esperamos en el cuarto cálido"
"17";"We study basic math today.";"(nosotros) estudiamos matemáticas básicas hoy"
"18";"We wash the clean plates.";"(nosotros) lavamos los platos limpios"
"19";"We arrive very early.";"(nosotros) llegamos muy temprano"
"20";"We carry the travel bags.";"(nosotros) llevamos las bolsas de viaje"
"21";"We show the city map.";"(nosotros) mostramos el mapa de la ciudad"
"22";"We need a quiet place.";"(nosotros) necesitamos un lugar tranquilo"
"23";"We forget the short list.";"(nosotros) olvidamos la lista corta"
"24";"We practice the short dialogue.";"(nosotros) practicamos el diálogo corto"
"25";"We prepare the dinner table.";"(nosotros) preparamos la mesa de cena"
"26";"We stay in this house.";"(nosotros) quedamos en esta casa"
"27";"We finish the simple task.";"(nosotros) terminamos la tarea simple"
"28";"We play soft music together.";"(nosotros) tocamos música suave juntos"
"29";"We use this wooden table.";"(nosotros) usamos esta mesa de madera"
"30";"You save money monthly. [sing, inf]";"(tú) ahorras dinero cada mes"
"31";"You buy a fresh apple. [sing, inf]";"(tú) compras una manzana fresca"
"32";"You rest on the soft sofa. [sing, inf]";"(tú) descansas en el sofá suave"
