"id";"word";"answer"
"1";"She attends the early class.";"(ella) asiste a la clase temprana"
"2";"She covers the clean bowl.";"(ella) cubre el tazón limpio"
"3";"She prints the long report.";"(ella) imprime el informe largo"
"4";"She receives the long letter.";"(ella) recibe la carta larga"
"5";"We attend the local event.";"(nosotros) asistimos al evento local"
"6";"We decide the final plan.";"(nosotros) decidimos el plan final"
"7";"We discuss the short topic.";"(nosotros) discutimos el tema corto"
"8";"We print the simple form.";"(nosotros) imprimimos el formulario simple"
"9";"We join the small group.";"(nosotros) unimos al grupo pequeño"
"10";"We live near the tall building.";"(nosotros) vivimos cerca del edificio alto"
"11";"You open the narrow drawer. [sing, inf]";"(tú) abres el cajón angosto"
"12";"You share the blue folder. [sing, inf]";"(tú) compartes la carpeta azul"
"13";"You decide the simple option. [sing, inf]";"(tú) decides la opción simple"
"14";"You discover the old tunnel. [sing, inf]";"(tú) descubres el túnel viejo"
"15";"You go up the steep hill. [sing, inf]";"(tú) subes la colina empinada"
"16";"You describe the bright room. [sing, formal]";"(usted) describe el cuarto brillante"
"17";"You write a short message. [sing, formal]";"(usted) escribe un mensaje corto"
"18";"You insist on the final point. [sing, formal]";"(usted) insiste en el punto final"
"19";"You omit the final line. [sing, formal]";"(usted) omite la línea final"
"20";"You admit the clear truth. [pl]";"(ustedes) admiten la verdad clara"
"21";"You fulfill the daily task. [pl]";"(ustedes) cumplen la tarea diaria"
"22";"You describe the quiet garden. [pl]";"(ustedes) describen el jardín tranquilo"
"23";"You discuss the new idea. [pl]";"(ustedes) discuten la idea nueva"
"24";"You write clear notes daily. [pl]";"(ustedes) escriben notas claras"
"25";"You depart from the quiet stop. [pl]";"(ustedes) parten de la parada tranquila"
"26";"You join the new team. [pl]";"(ustedes) unen al equipo nuevo"
"27";"I open the small door.";"(yo) abro la puerta pequeña"
"28";"I admit my small error.";"(yo) admito mi error pequeño"
"29";"I share the warm bread.";"(yo) comparto el pan tibio"
"30";"I cover the warm pot.";"(yo) cubro la olla tibia"
"31";"I discover the hidden door.";"(yo) descubro la puerta oculta"
"32";"I insist on the clear rule.";"(yo) insisto en la regla clara"
"33";"I omit the extra detail.";"(yo) omito el detalle extra"
"34";"I allow a short visit.";"(yo) permito una visita corta"
"35";"I receive the heavy box.";"(yo) recibo la caja pesada"
"36";"I go up the narrow stairs.";"(yo) subo las escaleras angostas"
"37";"He fulfills the simple goal.";"(él) cumple la meta simple"
"38";"He departs from the busy station.";"(él) parte de la estación ocupada"
"39";"He allows the small change.";"(él) permite el cambio pequeño"
"40";"He lives in the quiet house.";"(él) vive en la casa tranquila"
