"id","word","answer"
"1","Do you accept credit cards?"," ¿Acepta tarjetas de crédito?  "
"2","How much is this/that?"," ¿Cuánto cuesta esto/eso?  "
"3","How much?"," ¿Cuánto cuesta?  "
"4","How much is everything together?"," ¿Cuánto es todo juntos?  "
"5","Can you help me?"," ¿Me puede ayudar? [¿Me ayuda?]  "
"6","What is this/that?"," ¿Qué es esto/eso?  "
"7","What are these/those?"," ¿Qué son estos/esos?  "
"8","Do you have ___?"," ¿Tiene ___?  "
"9","Goodbye."," Adiós.  "
"10","Excuse me, how much is this?"," Disculpe, ¿cuánto cuesta esto?  "
"11","You are very kind."," Eres muy amable.  "
"12","It is very nice."," Está muy bonito/padre.  "
"13","I am fine, thank you."," Estoy bien, gracias.  "
"14","I am visiting Mexico."," Estoy visitando México.  "
"15","Thank you for your help."," Gracias por su ayuda.  "
"16","Thank you, that is all."," Gracias, eso es todo.  "
"17","See you later."," Hasta luego.  "
"18","See you tomorrow."," Hasta mañana.  "
"19","I like this one."," Me gusta este.  "
"20","Nice to meet you."," Mucho gusto.  "
"21","Have a good day."," Que tenga un buen día.  "
"22","I would like ___."," Quisiera ___.  "
"23","I would like to buy this."," Quisiera comprar esto.  "
"24","I'm just looking."," Solo estoy viendo.  "
"25","I am from ___."," Soy de ___.  "
"26","I am American."," Soy estadounidense.  "
"27","How are you","¿Cómo está?  "
"28","How are you today?","¿Cómo estás hoy?  "
"29","What is this called?","¿Cómo se llama esto?  "
"30","What is your name","¿Cómo se llama?  "
"31","How much is that one?","¿Cuánto cuesta ese?  "
"32","How much does this cost?","¿Cuánto cuesta esto?  "
"33","Are you the owner? [inf, to a man]","¿Eres el dueño?"
"34","Are you the owner? [inf, to a woman]","¿Eres la dueña?"
"35","Are you the owner?","¿Es usted el dueño?"
"36","Are you the owner? [to a woman]","¿Es usted la dueña?"
"37","What is that?","¿Qué es eso?  "
"38","Do you have ___ please?","¿Tiene ___ por favor?  "
"39","Do you have this in another color?","¿Tiene esto en otro color?  "
"40","Do you have a larger size?","¿Tiene una talla más grande?  "
"41","Do you have a smaller size?","¿Tiene una talla más pequeña?  "
"42","Good evening.","Buenas noches.  "
"43","Good afternoon.","Buenas tardes.  "
"44","Good morning.","Buenos días.  "
"45","You are welcome.","De nada.  "
"46","Excuse me.","Disculpe.  "
"47","My name is ___","Me llamo ___.  "
"48","Thank you very much!","Muchas gracias.  "
"49","Nice to meet you","Mucho gusto.  "
