"id";"word";"answer"
"1";"Grandmother Rosa sews beautiful quilts every day.";"La abuela Rosa cose edredones hermosos cada día."
"2";"She coughs frequently but never stops working.";"Ella tose frecuentemente pero nunca deja de trabajar."
"3";"The colorful cloth absorbs sunlight in the room.";"La tela colorida absorbe la luz solar."
"4";"The school suspends classes for the holiday week.";"La escuela suspende las clases para la semana."
"5";"Does Rosa commit her whole life to sewing?";"¿Rosa dedica toda su vida a la costura?"
"6";"Yes, she commits every moment to this craft.";"Sí, ella dedica cada momento a este arte."
"7";"A young girl named Sofía catches fire accidentally.";"Una niña llamada Sofía prende fuego accidentalmente."
"8";"Grandmother Rosa retreats from the burning cloth.";"La abuela Rosa retrocede del paño que quema."
"9";"She proceeds to help Sofía calmly and quickly.";"Ella procede a ayudar a Sofía tranquila y rápido."
"10";"What does her bravery correspond to in life?";"¿A qué corresponde su valentía en la vida?"
"11";"It corresponds to generations of family strength.";"Corresponde a generaciones de fortaleza familiar."
"12";"Rosa possesses skills from her own grandmother.";"Rosa posee habilidades de su propia abuela."
"13";"I sew patches when my clothes break.";"Coso parches cuando mi ropa se rompe."
"14";"You cough less when breathing fresh air.";"Tú tosés menos cuando respiras aire fresco."
"15";"She absorbs the beauty of each moment.";"Ella absorbe la belleza de cada momento."
"16";"We suspend our worries during creative time.";"Suspendemos nuestras preocupaciones durante tiempo creativo."
"17";"They commit to helping their community together.";"Se dedican a ayudar a su comunidad juntos."
"18";"The candle catches fire on the quilting table.";"La vela prende fuego en la mesa de costura."
"19";"I retreat when danger appears suddenly.";"Retrocedo cuando el peligro aparece de repente."
"20";"Does she proceed with the same courage?";"¿Ella procede con la misma valentía?"
"21";"Yes, her actions correspond to her values.";"Sí, sus acciones corresponden a sus valores."
"22";"What skills does the grandmother possess now?";"¿Qué habilidades posee ahora la abuela?"
"23";"She sews faster than anyone in the village.";"Ella cose más rápido que nadie en el pueblo."
"24";"Sofía learns to cough less with good health.";"Sofía aprende a toser menos con buena salud."
"25";"The beautiful quilts absorb all the love.";"Los edredones hermosos absorben todo el amor."
"26";"The school suspends the sewing competition temporarily.";"La escuela suspende la competencia temporalmente."
"27";"Rosa commits her prize money to poor families.";"Rosa dedica su dinero del premio a familias pobres."
"28";"New apprentices catch her passion for creation.";"Las aprendices nuevas prenden su pasión por creación."
"29";"Sofía proceeds to become a skilled seamstress.";"Sofía procede a convertirse en costurera hábil."
"30";"Her actions correspond to a lifetime of beauty.";"Sus acciones corresponden a una vida de belleza."
"31";"Rosa exceeds all expectations with her generosity.";"Rosa excede todas las expectativas con su generosidad."
"32";"She never offends anyone with criticism harsh.";"Ella nunca ofende a nadie con crítica dura."
"33";"Young students possess great respect for her.";"Los estudiantes jóvenes poseen gran respeto por ella."
"34";"Her legacy sews families together with love.";"Su legado cose familias juntas con amor."
"35";"The village celebrates her as a true treasure.";"El pueblo la celebra como un verdadero tesoro."
