"Hi, Carlos! What’s up?";"¡Hola, Carlos! ¿Qué onda?"
"David! All good.";"¡David! Todo bien."
"Hey, I’m looking for good tea. Where can I buy some?";"Oye, busco té bueno. ¿Dónde puedo comprar?"
"At a shop by the plaza.";"En una tienda por la plaza."
"Oh, thanks.";"Ah, gracias."
"Yeah, it’s good.";"Sí, está buena."
"Where are you going now?";"¿A dónde vas ahora?"
"Downtown.";"Voy al centro."
"Ah, okay.";"Ah, ok."
"And you?";"¿Y tú?"
"Just doing errands.";"Solo hago mandados."
"If you want, I’ll send you the address.";"Bueno, si quieres, te mando la dirección."
"Yes, thanks.";"Sí, gracias."
"Take care.";"Cuídate."
"You too.";"Tú también."
