"id";"word";"answer"
"1";"circular";"circular"
"2";"spiral";"espiral"
"3";"parallel";"paralelo"
"4";"perpendicular";"perpendicular"
"5";"rectangular";"rectangular"
"6";"oval";"ovalado"
"7";"cylindrical";"cilíndrico"
"8";"spherical";"esférico"
"9";"conical";"cónico"
"10";"metallic";"metálico"
"11";"wooden";"maderoso"
"12";"plastic";"plástico"
"13";"ceramic";"cerámico"
"14";"glass (material)";"vítreo"
"15";"stone-like";"pétreo"
"16";"leathery";"cueroso"
"17";"silky";"sedoso"
"18";"woolen";"lanoso"
"19";"cotton";"algodonoso"
"20";"synthetic";"sintético"
"21";"natural";"natural"
"22";"artificial";"artificial"
"23";"organic";"orgánico"
"24";"chemical";"químico"
"25";"toxic";"tóxico"
"26";"non-toxic";"no tóxico"
"27";"radioactive";"radiactivo"
"28";"flammable";"inflamable"
"29";"nonflammable";"incombustible"
"30";"explosive";"explosivo"
"31";"stable (chemical)";"estable"
"32";"unstable (chemical)";"inestable"
"33";"liquid";"líquido"
"34";"solid";"sólido"
"35";"gaseous";"gaseoso"
"36";"frozen";"congelado"
"37";"molten";"fundido"
"38";"magnetic";"magnético"
"39";"electric";"eléctrico"
"40";"electronic";"electrónico"
"41";"digital";"digital"
"42";"analog";"analógico"
"43";"mechanical";"mecánico"
"44";"automatic";"automático"
"45";"manual";"manual"
"46";"industrial";"industrial"
"47";"commercial";"comercial"
"48";"corporate";"corporativo"
"49";"financial";"financiero"
"50";"economic";"económico"
"51";"monetary";"monetario"
"52";"fiscal";"fiscal"
"53";"legal";"legal"
"54";"illegal";"ilegal"
"55";"judicial";"judicial"
"56";"criminal";"criminal"
"57";"civil";"civil"
"58";"military";"militar"
"59";"naval";"naval"
"60";"airborne";"aéreo"
"61";"armed";"armado"
"62";"unarmed";"desarmado"
"63";"dangerous";"peligroso"
"64";"safe";"seguro"
"65";"harmful";"dañino"
"66";"harmless";"inofensivo"
"67";"violent";"violento"
"68";"peaceful";"pacífico"
"69";"hostile";"hostil"
"70";"defensive";"defensivo"
"71";"offensive";"ofensivo"
"72";"strategic";"estratégico"
"73";"tactical";"táctico"
"74";"political";"político"
"75";"social";"social"
"76";"cultural";"cultural"
"77";"religious";"religioso"
"78";"spiritual";"espiritual"
"79";"philosophical";"filosófico"
"80";"moral";"moral"
"81";"immoral";"inmoral"
"82";"ethical";"ético"
"83";"unethical";"antiético"
"84";"scientific";"científico"
"85";"academic";"académico"
"86";"theoretical";"teórico"
"87";"practical";"práctico"
"88";"experimental";"experimental"
"89";"medical";"médico"
"90";"clinical";"clínico"
"91";"therapeutic";"terapéutico"
"92";"biological";"biológico"
"93";"genetic";"genético"
"94";"viral";"viral"
"95";"bacterial";"bacteriano"
"96";"fungal";"fúngico"
"97";"toxic";"tóxico"
"98";"sterile";"estéril"
"99";"contaminated";"contaminado"
"100";"infectious";"infeccioso"
