"Title: The Music Afternoon";"La Tarde de Música"
"We return to the small music room after lunch.";"Regresamos al cuartito de música después de la comida."
"I revisit an old song I like.";"Vuelvo a visitar una canción vieja que me gusta."
"She finishes her warm‑up quickly.";"Ella termina su calentamiento rápido."
"He plays the piano with soft hands.";"Él toca el piano con manos suaves."
"You drink cold water between songs.";"Tomas agua fría entre canciones."
"They work on a new melody together.";"Ellos trabajan en una melodía nueva juntos."
"I use a small notebook for ideas.";"Uso un cuadernito para ideas."
"More students visit the room to listen.";"Más estudiantes visitan el salón para escuchar."
"Only a few minutes remain before closing.";"Solo quedan unos minutos antes de cerrar."
"Tomorrow we are going to finish the whole song.";"Mañana vamos a terminar toda la canción."
