word,answer
I want___.,Quiero___.
Do you want___? [formal],¿Quiere___?
Do you want___? [informal],¿Quieres___?
Can you bring me___? [formal],¿Me puede traer___?
Can you bring me___? [informal],¿Me puedes traer___?
I like___.,[A mí] Me gusta___.
You like___. [formal],[A usted] Le gusta___.
You like___. [informal],[A ti] Te gusta___.
They like___. [formal],[A ustedes] Les gusta___.
He likes___.,[A él] Le gusta___.
She likes___.,[A ella] Le gusta___.
Do you like___? [formal],[A usted] ¿Le gusta___?
Do you like___? [informal],[A ti] ¿Te gusta___?
Do they like___? [formal],[A ustedes] ¿Les gusta___?
Does he like___?,[A él] ¿Le gusta___?
Does she like___?,[A ella] ¿Le gusta___?
I would like___.,Me gustaría___.
Would you like ___? [formal],¿Le gustaría___?
Would you like ___? [informal],¿Te gustaría___?
Would he like___?,[A él] ¿Le gustaría___?
Would she like___?,[A ella] ¿Le gustaría___?
Would Miguel like___?,¿A Miguel le gustaría___?
Would they like___? [M or mixed],[A ellos] ¿Les gustaría___?
Would they like___? [F],[A ellas] ¿Les gustaría___?
Do you have___? [formal],Tiene___?
Do you have___? [informal],Tienes___?
What type of ___ do you have? [formal],¿Qué ___tiene? [¿Qué tipo de ___tiene?]
What type of ___ do you have? [informal],¿Qué ___tienes? [¿Qué tipo de ___tienes?]
