word,answer
Ella ___ mi amiga. [She is my friend.], Ella es mi amiga. [relationship = ser]
Nosotros ___ en casa hoy. [We are at home today.], Nosotros estamos en casa hoy. [location = estar]
Tú ___ muy simpático. [You are very nice.], Tú eres muy simpático. [essential characteristic = ser]
El café ___ caliente ahora. [The coffee is hot right now.], El café está caliente ahora. [temporary state = estar]
Yo ___ maestro. [I am a teacher.], Yo soy maestro. [profession = ser]
Ellos ___ cansados. [They are tired.], Ellos están cansados. [temporary state = estar]
La casa ___ grande. [The house is big.], La casa es grande. [essential characteristic = ser]
Mi hermano ___ en México. [My brother is in Mexico.], Mi hermano está en México. [location = estar]
Ustedes ___ listos. [You all are ready.], Ustedes están listos. [temporary state = estar]
El libro ___ en la mesa. [The book is on the table.], El libro está en la mesa. [location = estar]
Nosotros ___ estudiantes. [We are students.], Nosotros somos estudiantes. [role/profession = ser]
Ella ___ enferma hoy. [She is sick today.], Ella está enferma hoy. [temporary state = estar]
Tú ___ en el parque. [You are in the park.], Tú estás en el parque. [location = estar]
Él ___ alto. [He is tall.], Él es alto. [essential characteristic = ser]
Yo ___ en la oficina. [I am in the office.], Yo estoy en la oficina. [location = estar]
La comida ___ deliciosa. [The food is delicious.], La comida es deliciosa. [inherent quality = ser]
Mis padres ___ de España. [My parents are from Spain.], Mis padres son de España. [origin = ser]
El perro ___ debajo de la silla. [The dog is under the chair.], El perro está debajo de la silla. [location = estar]
Nosotros ___ felices hoy. [We are happy today.], Nosotros estamos felices hoy. [emotion = estar]
La reunión ___ a las tres. [The meeting is at three.], La reunión es a las tres. [event time/location = ser]
Tú ___ muy ocupado hoy. [You are very busy today.], Tú estás muy ocupado hoy. [temporary state = estar]
Ella ___ ingeniera. [She is an engineer.], Ella es ingeniera. [profession = ser]
Los niños ___ en la escuela. [The children are at school.], Los niños están en la escuela. [location = estar]
Yo ___ muy contento. [I am very happy.], Yo estoy muy contento. [emotion = estar]
La puerta ___ cerrada. [The door is closed.], La puerta está cerrada. [result of change = estar]
Él ___ mi primo. [He is my cousin.], Él es mi primo. [relationship = ser]
Nosotros ___ en el restaurante. [We are in the restaurant.], Nosotros estamos en el restaurante. [location = estar]
Tú ___ inteligente. [You are intelligent.], Tú eres inteligente. [essential characteristic = ser]
La ciudad ___ tranquila hoy. [The city is calm today.], La ciudad está tranquila hoy. [temporary state = estar]
Yo ___ de Seattle. [I am from Seattle.], Yo soy de Seattle. [origin = ser]
Ellas ___ ocupadas. [They (fem.) are busy.], Ellas están ocupadas. [temporary state = estar]
El carro ___ nuevo. [The car is new.], El carro es nuevo. [essential characteristic = ser]
Mi mamá ___ en el supermercado. [My mom is at the supermarket.], Mi mamá está en el supermercado. [location = estar]
Ustedes ___ muy amables. [You all are very kind.], Ustedes son muy amables. [essential characteristic = ser]
Yo ___ listo para salir. [I am ready to leave.], Yo estoy listo para salir. [temporary state = estar]
La ventana ___ abierta. [The window is open.], La ventana está abierta. [result of change = estar]
Él ___ enojado. [He is angry.], Él está enojado. [emotion = estar]
Nosotros ___ amigos desde niños. [We have been friends since childhood.], Nosotros somos amigos desde niños. [relationship = ser]
Tú ___ en la sala. [You are in the living room.], Tú estás en la sala. [location = estar]
La clase ___ difícil. [The class is difficult.], La clase es difícil. [essential characteristic = ser]
Ellos ___ en la playa. [They are at the beach.], Ellos están en la playa. [location = estar]
Yo ___ tranquilo hoy. [I am calm today.], Yo estoy tranquilo hoy. [emotion = estar]
Ella ___ muy bonita. [She is very pretty.], Ella es muy bonita. [essential characteristic = ser]
La sopa ___ fría. [The soup is cold.], La sopa está fría. [temporary state = estar]
Nosotros ___ en Seattle. [We are in Seattle.], Nosotros estamos en Seattle. [location = estar]
Tú ___ mi mejor amigo. [You are my best friend.], Tú eres mi mejor amigo. [relationship = ser]
El concierto ___ en el centro. [The concert is downtown.], El concierto es en el centro. [event location = ser]
Ellas ___ contentas hoy. [They (fem.) are happy today.], Ellas están contentas hoy. [emotion = estar]
Yo ___ en la cocina. [I am in the kitchen.], Yo estoy en la cocina. [location = estar]
El cielo ___ azul. [The sky is blue.], El cielo es azul. [general truth = ser]
