"id";"word";"answer"
"1";"Title: Morning At The Science Fair";"Mañana En La Feria De Ciencias"
"2";"I result in the first group for the presentation.";"Resulto en el primer grupo para la presentación."
"3";"You withdraw the extra materials from the table. [sing, inf]";"Retiras los materiales extra de la mesa."
"4";"We are going to gather the students soon.";"Vamos a reunir a los estudiantes pronto."
"5";"They reveal their project with excitement.";"Revelan su proyecto con emoción."
"6";"I go around the room to check each stand.";"Rodeo el salón para revisar cada puesto."
"7";"You are going to break the model if you push it. [pl]";"Van a romper el modelo si lo empujan."
"8";"We take out the posters for our display.";"Sacamos los carteles para nuestra exhibición."
"9";"They separate the samples by color.";"Separan las muestras por color."
"10";"You point out the main idea clearly. [sing, formal]";"Señala la idea principal claramente."
"11";"I am going to mean something different in my explanation.";"Voy a significar algo diferente en mi explicación."
"12";"We locate our project near the entrance.";"Situamos nuestro proyecto cerca de la entrada."
"13";"They request more time to finish.";"Solicitan más tiempo para terminar."
"14";"You submit your results to the judges. [sing, inf]";"Sometes tus resultados a los jueces."
"15";"We are going to sound the alarm for the demo.";"Vamos a sonar la alarma para la demostración."
"16";"They surprise everyone with a cool experiment.";"Sorprenden a todos con un experimento padre."
"17";"You go up the small stage to speak. [pl]";"Suben al pequeño escenario para hablar."
"18";"I suffer a bit of nervousness.";"Sufro un poco de nervios."
"19";"We add one more detail to the poster.";"Sumamos un detalle más al cartel."
"20";"They are going to go beyond expectations today.";"Van a superar las expectativas hoy."
"21";"You throw away the scraps from the table. [sing, formal]";"Tira los recortes de la mesa."
"22";"I touch the model carefully.";"Toco el modelo con cuidado."
"23";"We transform the idea into something bigger.";"Transformamos la idea en algo más grande."
"24";"They try a new way to explain it.";"Tratan una forma nueva de explicarlo."
"25";"You are going to locate the judges soon. [sing, inf]";"Vas a ubicar a los jueces pronto."
"26";"We join the final group for photos.";"Unimos al grupo final para las fotos."
