word;answer
from;de
at;en
to;a
with;con
by;por
for;para
about;sobre
between;entre
without;sin
from;desde
to;hasta
during;durante
to;hacia
before;ante
against;contra
according to;según
after;tras
under;bajo
through;a través de
as of;a partir de
in front of;frente a
in addition to;además de
in spite of;a pesar de
through;mediante
together with;junto a
due to;debido a
thanks to;gracias a
despite;pese a
in accordance with;de acuerdo con
in regard to;en cuanto a
together with;junto con
about;acerca de
with respect to;respecto a
around;en torno a
instead of;en lugar de
according to;de acuerdo a
