"I get up early.";"Me levanto temprano."
"You get up at six."[sing, inf];"Te levantas a las seis."
"We go to bed after midnight.";"Nos acostamos después de medianoche."
"She goes to bed very late.";"Se acuesta muy tarde."
"He wakes up with the sun.";"Se despierta con el sol."
"You wake up quickly."[sing, inf];"Te despiertas rápido."
"I fall asleep instantly.";"Me duermo al instante."
"They fall asleep on the bus.";"Se duermen en el autobús."
"You get dressed fast."[sing, inf];"Te vistes rápido."
"We get dressed for the party.";"Nos vestimos para la fiesta."
"She takes a shower before work.";"Se ducha antes del trabajo."
"I take a shower at night.";"Me ducho en la noche."
"They bathe early.";"Se bañan temprano."
"You bathe before dinner."[sing, formal];"Se baña antes de la cena."
"We wash our hands often.";"Nos lavamos las manos a menudo."
"He washes his face every morning.";"Se lava la cara cada mañana."
"I brush my teeth after eating.";"Me cepillo los dientes después de comer."
"You brush your hair."[sing, inf];"Te cepillas el cabello."
"She combs her hair slowly.";"Se peina despacio."
"We comb our hair before leaving.";"Nos peinamos antes de salir."
"I sit near the window.";"Me siento cerca de la ventana."
"They sit in the back.";"Se sientan atrás."
"You stand up when they call you."[sing, formal];"Se levanta cuando lo llaman."
"We stand up together.";"Nos levantamos juntos."
"I feel happy today.";"Me siento feliz hoy."
"She feels tired.";"Se siente cansada."
"He gets angry easily.";"Se enoja fácilmente."
"We get angry sometimes.";"Nos enojamos a veces."
"I get tired after work.";"Me canso después del trabajo."
"They get tired quickly.";"Se cansan rápido."
"You hurry every morning."[sing, inf];"Te apuras cada mañana."
"We hurry to catch the bus.";"Nos apuramos para alcanzar el autobús."
"They stay at home.";"Se quedan en casa."
"I stay here for now.";"Me quedo aquí por ahora."
"You leave early."[sing, formal];"Se va temprano."
"We leave at noon.";"Nos vamos al mediodía."
"I call myself David.";"Me llamo David."
"They call themselves the winners.";"Se llaman los ganadores."
"He becomes a doctor.";"Se hace doctor."
"I become more patient.";"Me hago más paciente."
"She becomes nervous.";"Se pone nerviosa."
"You become quiet."[pl];"Se ponen callados."
"He becomes rude sometimes.";"Se vuelve grosero a veces."
"We become more confident.";"Nos volvemos más confiados."
"I realize the truth.";"Me doy cuenta de la verdad."
"They realize the mistake.";"Se dan cuenta del error."
"You remember the rule."[sing, inf];"Te acuerdas de la regla."
"We remember everything.";"Nos acordamos de todo."
"I forget the address.";"Me olvido de la dirección."
"You forget the keys."[pl];"Se olvidan de las llaves."
"They complain a lot.";"Se quejan mucho."
"I complain when I'm tired.";"Me quejo cuando estoy cansado."
"You worry too much."[sing, formal];"Se preocupa demasiado."
"We worry about the exam.";"Nos preocupamos por el examen."
"They have fun at the party.";"Se divierten en la fiesta."
"I have fun with friends.";"Me divierto con amigos."
"We meet each other on Fridays.";"Nos conocemos los viernes."
"They meet each other at school.";"Se conocen en la escuela."
"We kiss each other goodbye.";"Nos besamos al despedirnos."
"They kiss each other softly.";"Se besan suavemente."
