"Title: The Neighborhood Market";"El Mercado del Barrio"
"We absorb the smell of fresh bread.";"Absorbemos el olor del pan fresco."
"They learn the names of new fruits.";"Ellos aprenden los nombres de frutas nuevas."
"Workers sweep the entrance every hour.";"Los trabajadores barren la entrada cada hora."
"I drink a small cup of juice.";"Bebo un vasito de jugo."
"You eat a warm tamal from a stand.";"Comes un tamal calientito de un puesto."
"Vendors commit to fair prices.";"Los vendedores se comprometen a precios justos."
"She understands the directions to the bakery.";"Ella comprende las indicaciones para la panadería."
"Kids run between the aisles.";"Los niños corren entre los pasillos."
"The prices correspond to the season.";"Los precios corresponden a la temporada."
"Later we are going to sew a small bag for the fruit.";"Más tarde vamos a coser una bolsita para la fruta."
