"id";"word";"answer"
"1";"to open";"abrir"
"2";"to admit";"admitir"
"3";"to attend";"asistir"
"4";"to share";"compartir"
"5";"to cover";"cubrir"
"6";"to fulfill / turn (age)";"cumplir"
"7";"to decide";"decidir"
"8";"to describe";"describir"
"9";"to discover";"descubrir"
"10";"to discuss";"discutir"
"11";"to write";"escribir"
"12";"to print";"imprimir"
"13";"to insist";"insistir"
"14";"to omit";"omitir"
"15";"to split / depart";"partir"
"16";"to allow";"permitir"
"17";"to receive";"recibir"
"18";"to go up / upload";"subir"
"19";"to join / unite";"unir"
"20";"to live";"vivir"
