"Title: The Lost Sketchbook in the Park";"El Cuaderno Perdido en el Parque"
"A blue notebook lies under the bench.";"Un cuaderno azul yace bajo la banca."
"A green leaf sticks to its cover.";"Una hoja verde se pega a su portada."
"A yellow ribbon marks the first page.";"Una cinta amarilla marca la primera página."
"A black smudge stains the corner badly.";"Una mancha negra ensucia la esquina gravemente."
"A white sticker shows a faded name.";"Una calcomanía blanca muestra un nombre borroso."
"A brown twig presses between two drawings.";"Una ramita marrón presiona entre dos dibujos."
"A gray feather rests on the binding.";"Una pluma gris descansa sobre el lomo."
"A pink petal falls across the margin.";"Un pétalo rosa cae sobre el margen."
"A purple mark decorates the back flap.";"Una marca morada decora la contraportada."
"An orange thread hangs from the spine.";"Un hilo naranja cuelga del lomo."
"A golden glare reflects off the clasp.";"Un destello dorado se refleja en el broche."
"A silver button rolls beside the notebook.";"Un botón plateado rueda junto al cuaderno."
"A colorful doodle fills the second page.";"Un garabato colorido llena la segunda página."
"A pale sketch outlines a quiet lake.";"Un boceto pálido dibuja un lago tranquilo."
"A bright sun rises in the background.";"Un sol brillante aparece en el fondo."
"A dull pencil line crosses the horizon.";"Una línea opaca cruza el horizonte."
"A shiny drop of water hits the cover.";"Una gota reluciente cae sobre la portada."
"A transparent tear smudges the soft graphite.";"Una lágrima transparente corre la suave grafita."
"A translucent shadow moves across the grass.";"Una sombra traslúcida se mueve sobre el pasto."
"I am going to protect the thick pages.";"Voy a proteger las páginas gruesas."
