"id";"word";"answer"
"1";"taxi";"taxi"
"2";"Uber";"Uber"
"3";"bus";"camión"
"4";"bus";"autobús"
"5";"bus station";"central de autobuses"
"6";"taxi stand";"sitio de taxis"
"7";"ride / trip";"viaje"
"8";"route";"ruta"
"9";"road / way";"camino"
"10";"highway";"carretera"
"11";"traffic";"tráfico"
"12";"meter";"taxímetro"
"13";"price";"precio"
"14";"total price";"precio total"
"15";"tip";"propina"
"16";"card";"tarjeta"
"17";"credit card";"tarjeta de crédito"
"18";"cash";"efectivo"
"19";"change";"cambio"
"20";"address";"dirección"
"21";"map";"mapa"
"22";"GPS";"GPS"
"23";"hotel";"hotel"
"24";"entrance";"entrada"
"25";"corner";"esquina"
"26";"outside";"afuera"
"27";"in front of";"frente a"
"28";"pickup point";"punto de recogida"
"29";"car";"coche"
"30";"car";"carro"
"31";"license plate";"placa"
"32";"color";"color"
"33";"message";"mensaje"
"34";"phone call";"llamada"
"35";"phone";"celular"
"36";"bag";"bolsa"
"37";"luggage";"equipaje"
"38";"ticket";"boleto"
"39";"one-way ticket";"boleto sencillo"
"40";"round-trip ticket";"boleto de ida y vuelta"
"41";"discount";"descuento"
"42";"senior citizens";"adultos mayores"
"43";"platform";"andén"
"44";"gate";"puerta"
"45";"stop";"parada"
"46";"next bus";"próximo camión"
"47";"direct bus";"camión directo"
"48";"transfer";"transbordo"
"49";"seat";"asiento"
"50";"available";"disponible"
"51";"occupied / taken";"ocupado"
"52";"full";"lleno"
"53";"late / delayed";"retrasado"
"54";"nearby";"cerca"
"55";"far";"lejos"
"56";"fastest";"más rápido"
"57";"slowly";"despacio"
"58";"carefully";"con cuidado"
"59";"right";"derecha"
"60";"left";"izquierda"
"61";"straight";"derecho"
"62";"wrong way";"camino equivocado"
"63";"here";"aquí"
"64";"there";"allá"
"65";"later";"más tarde"
"66";"now";"ahora"
"67";"a moment";"un momento"
"68";"five minutes";"cinco minutos"
"69";"air conditioning";"aire acondicionado"
"70";"window";"ventana"
"71";"bathroom";"baño"
"72";"destination";"destino"
"73";"carsick / dizzy";"mareado"
"74";"sick / unwell";"mal"
"75";"to need";"necesitar"
"76";"to go";"ir"
"77";"to take someone";"llevar"
"78";"to leave / depart";"salir"
"79";"to arrive";"llegar"
"80";"to wait";"esperar"
"81";"to stop";"detenerse"
"82";"to stop at a place";"parar"
"83";"to turn";"dar vuelta"
"84";"to continue";"seguir"
"85";"to drive";"manejar"
"86";"to pay";"pagar"
"87";"to buy";"comprar"
"88";"to show";"mostrar"
"89";"to follow";"seguir"
"90";"to take / get a taxi or bus";"tomar"
"91";"to pick up";"recoger"
"92";"to return";"regresar"
"93";"to call";"llamar"
"94";"to send";"mandar"
"95";"to cancel";"cancelar"
"96";"to leave something behind";"dejar algo"
"97";"to get off";"bajarse"
"98";"to notify / let someone know";"avisar"
"99";"to transfer";"transbordar"
"100";"to sit";"sentarse"
"101";"to open";"abrir"
"102";"to close";"cerrar"
"103";"to miss a stop";"pasarse"
