"id";"word";"answer"
"1";"Title: The Afternoon Class";"La Clase de la Tarde"
"2";"Students absorb the teacher’s explanation.";"Los estudiantes absorben la explicación de la maestra."
"3";"I learn slowly but steadily.";"Aprendo despacio pero seguro."
"4";"You sweep your desk area before leaving.";"Barres tu área del escritorio antes de irte."
"5";"We drink cold water after running laps.";"Bebemos agua fría después de correr vueltas."
"6";"They eat sandwiches during the break.";"Ellos comen sándwiches durante el descanso."
"7";"She commits to studying more this week.";"Ella se compromete a estudiar más esta semana."
"8";"He understands the math problem now.";"Él comprende el problema de matemáticas ahora."
"9";"We run to the bus when class ends.";"Corremos al camión cuando termina la clase."
"10";"The answers correspond to the examples.";"Las respuestas corresponden a los ejemplos."
"11";"Tomorrow I am going to believe in my progress.";"Mañana voy a creer en mi progreso."
