"id";"word";"answer"
"1";"Title: The Library After-School Program";"El Programa Vespertino en la Biblioteca"
"2";"A shy student whispers a quiet question.";"Un estudiante tímido susurra una pregunta tranquila."
"3";"A creative mentor arranges colorful activity sheets.";"Un mentor creativo acomoda hojas de actividad coloridas."
"4";"A serious tutor explains the reading challenge.";"Un tutor serio explica el reto de lectura."
"5";"A curious child explores the tall bookshelves.";"Un niño curioso explora los estantes altos."
"6";"A scared newcomer hesitates near the doorway.";"Un recién llegado asustado duda cerca de la entrada."
"7";"We are going to encourage the insecure participants.";"Vamos a animar a los participantes inseguros."
"8";"An outgoing volunteer welcomes everyone with enthusiasm.";"Un voluntario extrovertido recibe a todos con entusiasmo."
"9";"An imaginative artist sketches scenes from stories.";"Un artista imaginativo dibuja escenas de cuentos."
"10";"A boring worksheet frustrates the restless group.";"Una hoja tediosa frustra al grupo inquieto."
"11";"A confident reader shares her favorite chapter.";"Una lectora segura comparte su capítulo favorito."
"12";"We are going to calm the fearful student.";"Vamos a calmar al estudiante temeroso."
"13";"An introverted teen writes quietly in the corner.";"Un adolescente introvertido escribe en silencio en la esquina."
"14";"A funny joke lightens the tense atmosphere.";"Un chiste gracioso aligera el ambiente tenso."
"15";"An unsociable kid sits apart from everyone.";"Un niño huraño se sienta apartado de todos."
"16";"An entertaining puppet show begins near the rug.";"Un show de títeres entretenido empieza cerca de la alfombra."
"17";"We are going to simplify the impractical activity.";"Vamos a simplificar la actividad impráctica."
"18";"A logical explanation helps clarify the instructions.";"Una explicación lógica ayuda a aclarar las instrucciones."
"19";"A practical tip improves the group’s focus.";"Un consejo práctico mejora la concentración del grupo."
"20";"An interesting fact surprises the older students.";"Un dato interesante sorprende a los estudiantes mayores."
"21";"I am going to close the session proudly.";"Voy a cerrar la sesión con orgullo."
