id,word,answer
1,"I think {e>ie, pensar}",[yo] pienso
2,"they think {e>ie, pensar}",[ustedes] piensan
3,"you want [sing, inf] {e>ie, querer}",[tú] quieres
4,we want,[nosotros] queremos
5,"she closes {e>ie, cerrar}",[ella] cierra
6,"you close [sing, formal] {e>ie, cerrar}",[usted] cierra
7,"I begin {e>ie, empezar}",[yo] empiezo
8,"they begin {e>ie, empezar}",[ustedes] empiezan
9,"he understands {e>ie, entender}",[él] entiende
10,we understand,[nosotros] entendemos
11,"you prefer [sing, inf] {e>ie, preferir}",[tú] prefieres
12,"they prefer {e>ie, preferir}",[ustedes] prefieren
13,"I feel {e>ie, sentir}",[yo] siento
14,"she feels {e>ie, sentir}",[ella] siente
15,"he lies {e>ie, mentir}",[él] miente
16,we lie,[nosotros] mentimos
17,"you recommend [sing, formal] {e>ie, recomendar}",[usted] recomienda
18,"they recommend {e>ie, recomendar}",[ustedes] recomiendan
19,"I defend {e>ie, defender}",[yo] defiendo
20,"you defend [sing, inf] {e>ie, defender}",[tú] defiendes
21,"I return {o>ue, volver}",[yo] vuelvo
22,"they return {o>ue, volver}",[ustedes] vuelven
23,"you can [sing, inf] {o>ue, poder}",[tú] puedes
24,we can,[nosotros] podemos
25,"he sleeps {o>ue, dormir}",[él] duerme
26,"they sleep {o>ue, dormir}",[ustedes] duermen
27,"I find {o>ue, encontrar}",[yo] encuentro
28,"you find [sing, formal] {o>ue, encontrar}",[usted] encuentra
29,"she counts {o>ue, contar}",[ella] cuenta
30,we count,[nosotros] contamos
31,"you show [sing, inf] {o>ue, mostrar}",[tú] muestras
32,"they show {o>ue, mostrar}",[ustedes] muestran
33,"I remember {o>ue, recordar}",[yo] recuerdo
34,"he remembers {o>ue, recordar}",[él] recuerda
35,"it costs {o>ue, costar}",[él] cuesta
36,"they cost {o>ue, costar}",[ustedes] cuestan
37,"I eat lunch {o>ue, almorzar}",[yo] almuerzo
38,"you eat lunch [sing, inf] {o>ue, almorzar}",[tú] almuerzas
39,"she moves {o>ue, mover}",[ella] mueve
40,we move,[nosotros] movemos
41,"I try {o>ue, probar}",[yo] pruebo
42,"they try {o>ue, probar}",[ustedes] prueban
43,"you show [sing, formal] {o>ue, demostrar}",[usted] demuestra
44,"he shows {o>ue, demostrar}",[él] demuestra
45,"I smell {o>ue, oler}",[yo] huelo
46,"you smell [sing, inf] {o>ue, oler}",[tú] hueles
47,"I ask for {e>i, pedir}",[yo] pido
48,"they ask for {e>i, pedir}",[ustedes] piden
49,"you repeat [sing, inf] {e>i, repetir}",[tú] repites
50,we repeat,[nosotros] repetimos
51,"he serves {e>i, servir}",[él] sirve
52,"they serve {e>i, servir}",[ustedes] sirven
53,"I follow {e>i, seguir}",[yo] sigo
54,"you follow [sing, formal] {e>i, seguir}",[usted] sigue
55,"she measures {e>i, medir}",[ella] mide
56,we measure,[nosotros] medimos
57,"I compete {e>i, competir}",[yo] compito
58,"they compete {e>i, competir}",[ustedes] compiten
59,"you get dressed [sing, inf] {e>i, vestir}",[tú] vistes
60,"she gets dressed {e>i, vestir}",[ella] viste
61,"I laugh {e>i, reír}",[yo] río
62,"you laugh [sing, formal] {e>i, reír}",[usted] ríe
63,"he smiles {e>i, sonreír}",[él] sonríe
64,we smile,[nosotros] sonreímos
65,"I correct {e>i, corregir}",[yo] corrijo
66,"they correct {e>i, corregir}",[ustedes] corrigen
67,"you choose [sing, inf] {e>i, elegir}",[tú] eliges
68,"she chooses {e>i, elegir}",[ella] elige
69,"I fry {e>i, freír}",[yo] frío
70,"you fry [sing, formal] {e>i, freír}",[usted] fríe
71,"I play {u>ue, jugar}",[yo] juego
72,"they play {u>ue, jugar}",[ustedes] juegan
73,"you play [sing, inf] {u>ue, jugar}",[tú] juegas
74,"he plays {u>ue, jugar}",[él] juega
75,"she plays {u>ue, jugar}",[ella] juega
76,we play,[nosotros] jugamos
77,"I show {o>ue, mostrar}",[yo] muestro
78,"you show [sing, inf] {o>ue, mostrar}",[tú] muestras
79,"he returns something {o>ue, devolver}",[él] devuelve
80,"they return something {o>ue, devolver}",[ustedes] devuelven
81,"I bite {o>ue, morder}",[yo] muerdo
82,"she bites {o>ue, morder}",[ella] muerde
83,"you die [sing, formal] {o>ue, morir}",[usted] muere
84,"they die {o>ue, morir}",[ustedes] mueren
85,"I hang {o>ue, colgar}",[yo] cuelgo
86,we hang,[nosotros] colgamos
87,"you show [sing, formal] {o>ue, mostrar}",[usted] muestra
88,"he shows {o>ue, mostrar}",[él] muestra
89,"I warm up {e>ie, calentar}",[yo] caliento
90,"you warm up [sing, inf] {e>ie, calentar}",[tú] calientas
91,"she loses {e>ie, perder}",[ella] pierde
92,"they lose {e>ie, perder}",[ustedes] pierden
93,"I sit {e>ie, sentarse}",[yo] siento
94,we sit,[nosotros] sentamos
95,"you wake up [sing, formal] {e>ie, despertar}",[usted] despierta
96,"he wakes up {e>ie, despertar}",[él] despierta
97,"I light/turn on {e>ie, encender}",[yo] enciendo
98,"they light/turn on {e>ie, encender}",[ustedes] encienden
99,"you begin [sing, inf] {e>ie, comenzar}",[tú] comienzas
100,"she begins {e>ie, comenzar}",[ella] comienza
