"id";"word";"answer"
"1";"Title: Morning At Home";"Mañana En Casa"
"2";"I give the plants a little water.";" ""Doy un poco de agua a las plantas."""
"3";"You let the sunlight in through the window. [sing, inf]";" ""Dejas entrar la luz por la ventana."""
"4";"We drink a warm cup of coffee.";" ""Bebemos una taza de café calientita."""
"5";"They finish their breakfast quickly.";" ""Acaban su desayuno rápido."""
"6";"I am going to pay the bills later.";" ""Voy a pagar las cuentas más tarde."""
"7";"You spend a few pesos on bread. [pl]";" ""Gastan unos pesos en pan."""
"8";"We take out the trash before leaving.";" ""Sacamos la basura antes de salir."""
"9";"They remove the old papers from the table.";" ""Quitan los papeles viejos de la mesa."""
"10";"You drive carefully through the neighborhood. [sing, formal]";" ""Maneja con cuidado por la colonia."""
"11";"I open the windows for fresh air.";" ""Abro las ventanas para que entre aire."""
"12";"We are going to love the quiet morning.";" ""Vamos a amar la mañana tranquila."""
"13";"They wash the dishes together.";" ""Lavan los trastes juntos."""
"14";"You cook eggs with vegetables. [sing, inf]";" ""Cocinas huevos con verduras."""
"15";"We clean the kitchen after eating.";" ""Limpiamos la cocina después de comer."""
"16";"They dry the cups with a small towel.";" ""Secan las tazas con una toallita."""
"17";"You are going to bathe the dog later. [pl]";" ""Van a bañar al perro más tarde."""
"18";"I matter to my family a lot.";" ""Importo mucho a mi familia."""
"19";"We interest the kids with a fun idea.";" ""Interesamos a los niños con una idea divertida."""
"20";"They bother each other playfully.";" ""Se molestan de manera juguetona."""
"21";"You win a small prize from a cereal box. [sing, formal]";" ""Gana un pequeño premio de una caja de cereal."""
"22";"I go up the stairs to get my bag.";" ""Subo las escaleras para agarrar mi bolsa."""
"23";"We come down to the living room.";" ""Bajamos a la sala."""
"24";"They dance to a quick song.";" ""Bailan una canción rápida."""
"25";"You are going to tie the bags before leaving. [sing, inf]";" ""Vas a atar las bolsas antes de salir."""
"26";"We tell a short story before heading out.";" ""Contamos una historia corta antes de salir."""
