"Title: The Rainy Afternoon";"La Tarde Lluviosa"
"I open my umbrella as the rain starts.";"Abro mi paraguas cuando empieza la lluvia."
"She admits she forgot her jacket.";"Ella admite que olvidó su chamarra."
"We attend a small workshop inside the library.";"Asistimos a un tallercito dentro de la biblioteca."
"They share their pencils with us.";"Ellos comparten sus lápices con nosotros."
"You cover your backpack with a plastic bag.";"Cubres tu mochila con una bolsa de plástico."
"He turns sixteen today.";"Él cumple dieciséis hoy."
"I decide to stay until the rain stops.";"Decido quedarme hasta que pare la lluvia."
"We describe the sound of the storm.";"Describimos el sonido de la tormenta."
"They discover a cozy reading corner.";"Ellos descubren un rincón acogedor para leer."
"Later we are going to discuss which books to borrow.";"Más tarde vamos a discutir qué libros pedir prestados."
