"id";"word";"answer"
"1";"Title: The Apartment Cleanup Before Guests Arrive";"La Limpieza del Departamento Antes de que Lleguen Invitados"
"2";"A strong smell of coffee fills the air.";"Un olor robusto a café llena el aire."
"3";"A thin curtain sways with the breeze.";"Una cortina delgada se mueve con la brisa."
"4";"A fat cushion sinks under my weight.";"Un cojín gordo se hunde bajo mi peso."
"5";"A skinny lamp flickers near the sofa.";"Una lámpara flaca parpadea cerca del sofá."
"6";"A fit roommate carries the heavy boxes.";"Un compañero en forma carga las cajas pesadas."
"7";"A tall plant blocks the hallway entrance.";"Una planta alta bloquea la entrada del pasillo."
"8";"A short stool wobbles on the tiles.";"Un banco bajo tambalea sobre los azulejos."
"9";"A handsome guest arrives earlier than expected.";"Un invitado guapo llega antes de lo esperado."
"10";"A pretty candle brightens the small table.";"Una vela linda ilumina la mesa pequeña."
"11";"An ugly stain appears on the cushion.";"Una mancha fea aparece en el cojín."
"12";"A beautiful breeze cools the warm room.";"Una brisa hermosa refresca el cuarto cálido."
"13";"A cute kitten hides behind the curtains.";"Un gatito bonito se esconde detrás de las cortinas."
"14";"An attractive frame hangs above the sofa.";"Un marco atractivo cuelga encima del sofá."
"15";"An unattractive box sits in the corner.";"Una caja poco atractiva está en la esquina."
"16";"A clean‑cut neighbor offers quick help.";"Un vecino aseado ofrece ayuda rápida."
"17";"A messy pile of clothes blocks the door.";"Una pila desordenada de ropa bloquea la puerta."
"18";"An organized shelf displays the new plants.";"Un estante organizado muestra las plantas nuevas."
"19";"A disorganized drawer hides important papers.";"Un cajón desorganizado esconde papeles importantes."
"20";"A neat row of shoes lines the entry.";"Una fila ordenada de zapatos cubre la entrada."
"21";"I am going to scrub the dirty floor.";"Voy a tallar el piso sucio."
