"Title: The Busy Afternoon";"La Tarde Ocupada"
"He wins a small award at school.";"Él gana un premio pequeño en la escuela."
"We talk about his project on the way home.";"Hablamos de su proyecto camino a casa."
"I try to help him carry his backpack.";"Intento ayudarlo a llevar su mochila."
"They invite us to a study group later.";"Nos invitan a un grupo de estudio más tarde."
"You wash the dishes after lunch.";"Lavas los trastes después de la comida."
"Your sister cleans the living room.";"Tu hermana limpia la sala."
"I call my mom to check in.";"Llamo a mi mamá para saludarla."
"Friends arrive with notebooks and snacks.";"Amigos llegan con cuadernos y botanas."
"They carry extra pencils for everyone.";"Llevan lápices extra para todos."
"Later we are going to send the homework answers.";"Más tarde vamos a mandar las respuestas de la tarea."
