word,answer
I pay [pagar],pago
"You pay [pagar, sing, inf]",pagas
"He, she, you pay [pagar, sing; you=formal 'usted']",paga
We pay [pagar],pagamos
They pay [pagar],pagan
I cook [cocinar],cocino
"You cook [cocinar, sing, inf]",cocinas
"He, she, you cook [cocinar, sing; you=formal 'usted']",cocina
We cook [cocinar],cocinamos
They cook [cocinar],cocinan
I look for [buscar],busco
"You look for [buscar, sing, inf]",buscas
"He, she, you look for [buscar, sing; you=formal 'usted']",busca
We look for [buscar],buscamos
They look for [buscar],buscan
