"id";"word";"answer"
"1";"The bathroom on the first floor is dirty but at least it is small.";"El baño del primer piso está sucio pero por lo menos, es pequeño."
"2";"In the bedroom, the clothes are on the floor.";"En el dormitorio, la ropa está en el piso."
"3";"In the refrigerator, there is delicious fish and vegetable soup, chicken and French fries, and there is a cake and ice cream for dessert.";"En la nevera, hay sopa sabrosa de pescado y vegetales, pollo y papas fritas, y hay una torta y helado para el postre."
"4";"It is autumn and the air is fresh.";"Es el otoño y el aire está fresco."
"5";"It is September twenty-first, the day of my birthday, a pleasant day to be at home.";"Es el veintiuno de septiembre, el día de mi cumpleaños, un día agradable para estar en la casa."
"6";"It is lunchtime.";"Es la hora del almuerzo."
"7";"There are ugly stains on the kitchen floor.";"Hay manchas feas en el piso de la cocina."
"8";"There is dust on top of the refrigerator and the stove.";"Hay polvo encima de la nevera y la estufa."
"9";"Today, everything is a mess.";"Hoy, todo es un desorden."
"10";"The kitchen is another story.";"La cocina es otro cuento."
"11";"The spoons, the knives, the forks, and the plates are in the dishwasher.";"Las cucharas, los cuchillos, los tenedores y los platos están en el lavaplatos."
"12";"The sheets and the pillows are dirty.";"Las sábanas y las almohadas están sucias."
"13";"They are always in the cabinet.";"Siempre están en el gabinete."
"14";"It is two o'clock already.";"Son las dos ya."
"15";"It is eleven o'clock in the morning and it is a good day for housework.";"Son las once de la mañana y es un buen día para el oficio de la casa."
"16";"Also, there is a broom for the living room and a vacuum for the red carpet of the dining room.";"También, hay una escoba para la sala y una aspiradora para la alfombra roja del comedor."
"17";"Where is my sponge for the kitchen and the bathroom?";"¿Dónde está mi esponja para la cocina y el baño?"
"18";"What time is it?";"¿Qué hora es?"
