"id";"word";"answer"
"1";"Hi, David. How are you today? Happy or sad?";"Hola, David. ¿Cómo estás hoy? ¿Feliz o triste?"
"2";"Hi, Carlos. I am happy, not sad. And you?";"Hola, Carlos. Estoy feliz, no triste. ¿Y tú?"
"3";"I am calm, not angry.";"Yo estoy calmado, no enojado."
"4";"Do you live near or far from here?";"¿Vives cerca o lejos de aquí?"
"5";"I live near. My house is big, not small.";"Vivo cerca. Mi casa es grande, no pequeña."
"6";"I live far. My house is small, not big.";"Yo vivo lejos. Mi casa es pequeña, no grande."
"7";"Is your house clean or dirty today?";"¿Tu casa está limpia o sucia hoy?"
"8";"It is clean, not dirty. And yours?";"Está limpia, no sucia. ¿Y la tuya?"
"9";"Mine is a little messy, not tidy.";"La mía está un poco desordenada, no ordenada."
"10";"Do you have a young or old dog?";"¿Tienes un perro joven o viejo?"
"11";"I have a young dog, not an old one.";"Tengo un perro joven, no viejo."
"12";"I have an old cat, not a young one.";"Yo tengo un gato viejo, no joven."
"13";"Is your cat fat or skinny?";"¿Tu gato es gordo o delgado?"
"14";"He is fat, not skinny.";"Es gordo, no delgado."
"15";"My dog is skinny, not fat.";"Mi perro es delgado, no gordo."
"16";"Is your street safe or dangerous?";"¿Tu calle es segura o peligrosa?"
"17";"It is safe, not dangerous.";"Es segura, no peligrosa."
"18";"Mine is a little dangerous, not safe.";"La mía es un poco peligrosa, no segura."
"19";"Do you have a lot of food at home? Is your fridge full or empty?";"¿Tienes mucha comida en casa? ¿Está tu refri lleno o vacío?"
"20";"It is full, not empty.";"Está lleno, no vacío."
"21";"Mine is empty, not full.";"El mío está vacío, no lleno."
"22";"Are you eating hot or cold food today?";"¿Comes comida caliente o fría hoy?"
"23";"I eat hot food, not cold.";"Como comida caliente, no fría."
"24";"I eat cold food, not hot.";"Yo como comida fría, no caliente."
"25";"Are you an energetic or lazy person today?";"¿Eres una persona energética o floja hoy?"
"26";"Today I am energetic, not lazy.";"Hoy soy energético, no flojo."
"27";"I am a little lazy, not energetic.";"Yo estoy un poco flojo, no energético."
"28";"Is your job easy or difficult?";"¿Tu trabajo es fácil o difícil?"
"29";"It is easy, not difficult.";"Es fácil, no difícil."
"30";"Mine is difficult, not easy.";"El mío es difícil, no fácil."
"31";"Well, I’m leaving now. I walk fast, not slow.";"Bueno, me voy ahora. Camino rápido, no lento."
"32";"Alright. Goodbye, my friend. I have a slow day, not a fast one.";"Está bien. Adiós, amigo. Tengo un día lento, no rápido."
