"id";"word";"answer"
"1";"Goodbye.";" ""Adiós.""  "
"2";"Excuse me, how much is this?";" ""Disculpe, ¿cuánto cuesta esto?""  "
"3";"owner";" ""dueño""  "
"4";"You are very kind.";" ""Eres muy amable.""  "
"5";"I am fine, thank you.";" ""Estoy bien, gracias.""  "
"6";"I am visiting Mexico.";" ""Estoy visitando México.""  "
"7";"It is very nice.";" ""Está muy bonito/padre.""  "
"8";"Thank you for your help.";" ""Gracias por su ayuda.""  "
"9";"Thank you, that is all.";" ""Gracias, eso es todo.""  "
"10";"See you later.";" ""Hasta luego.""  "
"11";"See you tomorrow.";" ""Hasta mañana.""  "
"12";"I like this one.";" ""Me gusta este.""  "
"13";"Nice to meet you.";" ""Mucho gusto.""  "
"14";"Have a good day.";" ""Que tenga un buen día.""  "
"15";"I would like ___.";" ""Quisiera ___.""  "
"16";"I would like to buy this.";" ""Quisiera comprar esto.""  "
"17";"I'm just looking.";" ""Solo estoy viendo.""  "
"18";"I am from ___.";" ""Soy de ___.""  "
"19";"I am American.";" ""Soy estadounidense.""  "
"20";"store";" ""tienda""  "
"21";"employee/worker";" ""trabajador""  "
"22";"Do you accept credit cards?";" ""¿Acepta tarjetas de crédito?""  "
"23";"How much is this/that?";" ""¿Cuánto cuesta esto/eso?""  "
"24";"How much?";" ""¿Cuánto cuesta?""  "
"25";"How much is everything together?";" ""¿Cuánto es todo juntos?""  "
"26";"Can you help me?";" ""¿Me puede ayudar? [¿Me ayuda?]""  "
"27";"What is this/that?";" ""¿Qué es esto/eso?""  "
"28";"What are these/those?";" ""¿Qué son estos/esos?""  "
"29";"Do you have ___?";" ""¿Tiene ___?""  "
"30";"help";"ayudar  "
"31";"Good evening.";"Buenas noches.  "
"32";"Good afternoon.";"Buenas tardes.  "
"33";"Good morning.";"Buenos días.  "
"34";"127";"ciento veintisiete  "
"35";"buy";"comprar  "
"36";"405";"cuatrocientos cinco  "
"37";"You are welcome.";"De nada.  "
"38";"Excuse me.";"Disculpe.  "
"39";"that one";"ese  "
"40";"those";"esos  "
"41";"this one";"este  "
"42";"these";"estos  "
"43";"Thank you.";"Gracias  "
"44";"large";"grande  "
"45";"hello";"hola  "
"46";"together";"juntos  "
"47";"My name is ___";"Me llamo ___.  "
"48";"1234";"mil doscientos treinta y cuatro  "
"49";"Thank you very much!";"Muchas gracias.  "
"50";"Nice to meet you";"Mucho gusto.  "
"51";"larger";"más grande  "
"52";"smaller";"más pequeño  "
"53";"no";"no  "
"54";"83";"ochenta y tres  "
"55";"small";"pequeño  "
"56";"please";"por favor  "
"57";"market stall";"puesto  "
"58";"690";"seiscientos noventa  "
"59";"yes";"sí  "
"60";"credit card";"tarjeta de crédito  "
"61";"have";"tener  "
"62";"How much is that one?";"¿Cuánto cuesta ese?  "
"63";"How much does this cost?";"¿Cuánto cuesta esto?  "
"64";"How are you";"¿Cómo está?  "
"65";"How are you today?";"¿Cómo estás hoy?  "
"66";"What is this called?";"¿Cómo se llama esto?  "
"67";"What is your name";"¿Cómo se llama?  "
"68";"What is that?";"¿Qué es eso?  "
"69";"Do you have ___ please?";"¿Tiene ___ por favor?  "
"70";"Do you have this in another color?";"¿Tiene esto en otro color?  "
"71";"Do you have a larger size?";"¿Tiene una talla más grande?  "
"72";"Do you have a smaller size?";"¿Tiene una talla más pequeña?  "
