"id","word","answer"
"1","atonal","atonal"
"2","melodic","melódico"
"3","rhythmic","rítmico"
"4","percussive","percursivo"
"5","vocal","vocal"
"6","instrumental","instrumental"
"7","synthetic (sound)","sintético"
"8","organic (sound)","orgánico"
"9","mechanical (sound)","mecánico"
"10","ambient","ambiental"
"11","industrial (sound)","industrial"
"12","metallic (sound)","metálico"
"13","wooden (sound)","maderoso"
"14","nasal","nasal"
"15","guttural","gutural"
"16","raspy","rasposo"
"17","hoarse","ronco"
"18","shrill","estridente"
"19","muffled","amortiguado"
"20","echoing","resonante"
"21","silent","silente"
"22","noisy","ruidoso"
"23","thunderous","atronador"
"24","whispered","susurrado"
"25","spoken","hablado"
"26","written","escrito"
"27","printed","impreso"
"28","handwritten","manuscrito"
"29","typed","mecanografiado"
"30","digital","digital"
"31","analog","analógico"
"32","binary","binario"
"33","encrypted","encriptado"
"34","decrypted","desencriptado"
"35","encoded","codificado"
"36","decoded","decodificado"
"37","compressed","comprimido"
"38","uncompressed","descomprimido"
"39","optimized","optimizado"
"40","corrupted","corrupto"
"41","glitched","fallado"
"42","virtual","virtual"
"43","augmented","aumentado"
"44","simulated","simulado"
"45","synthetic","sintético"
"46","artificial","artificial"
"47","autonomous","autónomo"
"48","robotic","robótico"
"49","cybernetic","cibernético"
"50","algorithmic","algorítmico"
"51","computational","computacional"
"52","quantum","cuántico"
"53","theoretical","hipotético"
"54","hypothetical","supuesto"
"55","speculative","especulativo"
"56","fictional","ficticio"
"57","mythical","mitológico"
"58","legendary","legendario"
"59","symbolic","simbólico"
"60","ritual","ritual"
"61","ceremonial","ceremonial"
"62","ancestral","ancestral"
"63","tribal","tribal"
"64","ethnic","étnico"
"65","linguistic","lingüístico"
"66","grammatical","gramatical"
"67","phonetic","fonético"
"68","semantic","semántico"
"69","pragmatic","pragmático"
"70","lexical","léxico"
"71","syntactic","sintáctico"
"72","morphological","morfológico"
"73","etymological","etimológico"
"74","archaic","arcaico"
"75","obsolete","obsoleto"
"76","rare","insólito"
"77","esoteric","esotérico"
"78","cryptic","críptico"
"79","enigmatic","enigmático"
"80","paradoxical","paradójico"
"81","metaphorical","metafórico"
"82","poetic","poético"
"83","literary","literario"
"84","stylistic","estilístico"
"85","rhetorical","retórico"
"86","classical","clásico"
"87","romantic (era)","romántico"
"88","baroque","barroco"
"89","gothic","gótico"
"90","renaissance","renacentista"
"91","modernist","modernista"
"92","postmodern","posmoderno"
"93","avant-garde","vanguardista"
"94","experimental","experimental"
"95","innovative","innovador"
"96","conventional","convencional"
"97","unconventional","poco convencional"
"98","eccentric","excéntrico"
"99","bizarre","bizarro"
"100","surreal","surrealista"
"101","absurd","absurdo"
"102","irrational","irracional"
"103","illogical","ilógico"
"104","nonsensical","disparatado"
"105","chaotic","caótico"
"106","random","aleatorio"
"107","arbitrary","arbitrario"
"108","systematic","sistemático"
"109","unsystematic","asistemático"
"110","methodical","metódico"
"111","unmethodical","desordenado"
