"id";"word";"answer"
"1";"perhaps";"a lo mejor"
"2";"often";"a menudo"
"3";"below";"abajo"
"4";"perhaps";"acaso"
"5";"currently";"actualmente"
"6";"here";"acá"
"7";"forward";"adelante"
"8";"in addition";"además"
"9";"inside";"adentro"
"10";"outside";"afuera"
"11";"now";"ahora"
"12";"there";"ahí"
"13";"there";"allá"
"14";"there";"allí"
"15";"around";"alrededor"
"16";"before";"antes"
"17";"hardly";"apenas"
"18";"barely";"apenas"
"19";"approximately";"aproximadamente"
"20";"here";"aquí"
"21";"up";"arriba"
"22";"also";"asimismo"
"23";"thus";"así"
"24";"as well as";"así como"
"25";"behind";"atrás"
"26";"even";"aun"
"27";"yesterday";"ayer"
"28";"still";"aún"
"29";"quite a lot";"bastante"
"30";"well";"bien"
"31";"basically";"básicamente"
"32";"almost";"casi"
"33";"near";"cerca"
"34";"clearly";"claramente"
"35";"completely";"completamente"
"36";"carefully";"cuidadosamente"
"37";"how";"cómo"
"38";"under";"debajo"
"39";"in front";"delante"
"40";"too";"demasiado"
"41";"within";"dentro"
"42";"later";"después"
"43";"back";"detrás"
"44";"daily";"diariamente"
"45";"with difficulty";"difícilmente"
"46";"directly";"directamente"
"47";"above";"encima"
"48";"right away";"enseguida"
"49";"then";"entonces"
"50";"especially";"especialmente"
"51";"exactly";"exactamente"
"52";"finally";"finalmente"
"53";"frequently";"frecuentemente"
"54";"out";"fuera"
"55";"easily";"fácilmente"
"56";"generally";"generalmente"
"57";"even";"hasta"
"58";"today";"hoy"
"59";"likewise";"igual"
"60";"equally";"igualmente"
"61";"inclusive";"incluso"
"62";"immediately";"inmediatamente"
"63";"never";"jamás"
"64";"never";"jamás"
"65";"just";"justo"
"66";"far";"lejos"
"67";"slowly";"lentamente"
"68";"then";"luego"
"69";"badly";"mal"
"70";"least";"menos"
"71";"a lot";"mucho"
"72";"very";"muy"
"73";"more";"más"
"74";"not even";"ni siquiera"
"75";"not";"no"
"76";"however";"no obstante"
"77";"normally";"normalmente"
"78";"again";"nuevamente"
"79";"never";"nunca"
"80";"not at all";"para nada"
"81";"perfectly";"perfectamente"
"82";"perfectly";"perfectamente"
"83";"sparsely";"poco"
"84";"kindly";"por favor"
"85";"finally";"por fin"
"86";"at least";"por lo menos"
"87";"therefore";"por lo tanto"
"88";"of course";"por supuesto"
"89";"therefore";"por tanto"
"90";"later";"posteriormente"
"91";"precisely";"precisamente"
"92";"first";"primero"
"93";"mainly";"principalmente"
"94";"probably";"probablemente"
"95";"soon";"pronto"
"96";"practically";"prácticamente"
"97";"maybe";"quizá"
"98";"maybe";"quizás"
"99";"actually";"realmente"
"100";"recently";"recientemente"
"101";"just";"recién"
"102";"respectively";"respectivamente"
"103";"loudly";"ruidosamente"
"104";"quickly";"rápidamente"
"105";"surely";"seguramente"
"106";"always";"siempre"
"107";"simply";"simplemente"
"108";"however";"sin embargo"
"109";"only";"solamente"
"110";"only";"solo"
"111";"yes";"sí"
"112";"maybe";"tal vez"
"113";"also";"también"
"114";"nor";"tampoco"
"115";"SO";"tan"
"116";"such";"tanto"
"117";"afternoon";"tarde"
"118";"early";"temprano"
"119";"still";"todavía"
"120";"totally";"totalmente"
"121";"already";"ya"
"122";"only";"únicamente"
