"id";"word";"answer"
"1";"Title: The Strange Morning";"La Mañana Extraña"
"2";"We protect the plants from the cold air.";"Protegemos las plantas del aire frío."
"3";"I respond to a message from my neighbor.";"Respondo un mensaje de mi vecino."
"4";"She goes back to the kitchen to check the stove.";"Ella retrocede a la cocina para revisar la estufa."
"5";"He breaks a small branch by accident.";"Él rompe una ramita por accidente."
"6";"They surprise us with warm bread.";"Ellos nos sorprenden con pan calientito."
"7";"Strange things happen when the weather changes fast.";"Cosas extrañas suceden cuando el clima cambia rápido."
"8";"You suspend your walk because it starts to rain.";"Suspendes tu caminata porque empieza a llover."
"9";"I fear the storm a little.";"Temo un poco a la tormenta."
"10";"The kids cough from the cold wind.";"Los niños tosen por el viento frío."
"11";"Tomorrow we are going to sell hot chocolate at the park.";"Mañana vamos a vender chocolate caliente en el parque."
