"id","word","answer"
"1","air conditioning","aire acondicionado"
"2","bathroom","baño"
"3","bed","cama"
"4","password","contraseña"
"5","bill","cuenta"
"6","You are welcome.","De nada."
"7","breakfast","desayuno"
"8","Excuse me, where is the elevator?","Disculpe, ¿dónde está el ascensor?"
"9","I enjoyed my stay.","Disfruté mi estancia."
"10","The air conditioning does not work.","El aire acondicionado no funciona."
"11","elevator","elevador"
"12","luggage","equipaje"
"13","Thank you for your help.","Gracias por su ayuda."
"14","room","habitación"
"15","double room","habitación doble"
"16","single room","habitación sencilla"
"17","hotel","hotel"
"18","soap","jabón"
"19","The room is very nice.","La habitación está muy bonita."
"20","The tv does not work.","La televisión no funciona."
"21","laundry","lavandería"
"22","key","llave"
"23","Thank you very much.","Muchas gracias."
"24","I need more soap and shampoo.","Necesito más jabón y shampoo."
"25","I need room service.","Necesito servicio a la habitación."
"26","There is no hot water.","No hay agua caliente."
"27","passport","pasaporte"
"28","pool","piscina"
"29","floor","piso"
"30","I would like to check out.","Quisiera hacer el registro de salida."
"31","I would like to pay with credit card.","Quisiera pagar con tarjeta de crédito."
"32","I would like to check in.","Quisiera registrarme."
"33","reception","recepción"
"34","check-in","registro de entrada"
"35","check-out","registro de salida"
"36","reservation","reservación"
"37","I booked a ___ room.","Reservé una habitación ___."
"38","restaurant","restaurante"
"39","room service","servicio a la habitación"
"40","shampoo","shampoo"
"41","key card","tarjeta"
"42","credit card","tarjeta de crédito"
"43","I have a reservation under the name of ___.","Tengo una reservación a nombre de ___."
"44","I have a reservation.","Tengo una reservación."
"45","towel","toalla"
"46","wifi","wifi"
"47","What time is check-out","¿A qué hora es el registro de salida?"
"48","What time is breakfast served?","¿A qué hora se sirve el desayuno?"
"49","What time do I have to leave the room?","¿A qué hora tengo que dejar la habitación?"
"50","What is the wifi password please?","¿Cuál es la contraseña del wifi, por favor?"
"51","How much is the room?","¿Cuánto cuesta la habitación?"
"52","How much is the total bill?","¿Cuánto es la cuenta total?"
"53","Where is the ___","¿Dónde está ___?"
"54","Where is the restaurant?","¿Dónde está el restaurante?"
"55","Is breakfast included in the price?","¿El desayuno está incluido en el precio?"
"56","Is breakfast included","¿El desayuno está incluido?"
"57","Does the hotel have a pool?","¿El hotel tiene piscina?"
"58","Is the pool open?","¿Está abierta la piscina?"
"59","Are there good restaurants near here?","¿Hay buenos restaurantes cerca de aquí?"
"60","Are there good restaurants near the hotel?","¿Hay buenos restaurantes cerca del hotel?"
"61","Is there free wifi in the room?","¿Hay wifi gratis en la habitación?"
"62","Can I have the wifi password.","¿Me puede dar la contraseña del wifi?"
"63","May I have the key?","¿Me puede dar la llave?"
"64","Can I have more towels?","¿Me puede dar más toallas?"
"65","Can you call a taxi for me?","¿Me puede llamar un taxi?"
"66","Can I have extra towels in the room?","¿Me puede poner toallas extras en la habitación?"
"67","Can I leave my luggage?","¿Puedo dejar mi equipaje?"
"68","Can I check out later?","¿Puedo hacer el check-out más tarde?"
"69","Do you have a restaurant?","¿Tiene restaurante?"
