"id";"word";"answer"
"1";"Title: The Busy Market";"El Mercado Ajetreado"
"2";"I save money to buy fresh fruit at the market.";"Ahorro dinero para comprar fruta fresca en el mercado."
"3";"Vendors rent small spaces along the street.";"Los vendedores rentan espacios pequeños a lo largo de la calle."
"4";"They help customers find what they need.";"Ayudan a los clientes a encontrar lo que necesitan."
"5";"Musicians dance a little while they play.";"Los músicos bailan tantito mientras tocan."
"6";"We look for the stand with the best mangoes.";"Buscamos el puesto con los mejores mangos."
"7";"The prices change every season.";"Los precios cambian cada temporada."
"8";"We walk slowly because the market is crowded.";"Caminamos despacio porque el mercado está lleno."
"9";"One vendor cancels his stand for the day.";"Un vendedor cancela su puesto por el día."
"10";"Families cook snacks on small grills.";"Las familias cocinan antojitos en parrillas pequeñas."
"11";"I buy a bag of warm tortillas before leaving.";"Compro una bolsa de tortillas calientitas antes de irme."
