"id";"word";"answer"
"1";"We must join our efforts so that the project succeeds.";"Debemos unir nuestros esfuerzos para que el proyecto tenga éxito."
"2";"You must understand her feelings.";"Debes comprender sus sentimientos."
"3";"You must find the balance between work and family.";"Debes encontrar el equilibrio entre trabajo y familia."
"4";"You should always keep your eyes on the road.";"Debes mirar siempre la carretera."
"5";"Di María is my favorite football player.";"Di María es mi jugador de fútbol preferido."
"6";"The government has serious problems.";"El gobierno tiene graves problemas."
"7";"The country must produce more than ever.";"El país debe producir más que nunca."
"8";"The project is in the completion stage.";"El proyecto está en la etapa de realización."
"9";"The puzzle has a thousand pieces.";"El rompecabezas tiene mil piezas."
"10";"Mr. Ramírez requires your presence in his office.";"El señor Ramírez requiere tu presencia en su oficina."
"11";"Tobacco is a risk factor.";"El tabaco es un factor de riesgo."
"12";"You are an individual, but also part of a society.";"Eres un individuo, pero también eres parte de una sociedad."
"13";"It is a simple, light reading book.";"Es un libro sencillo, de lectura ligera."
"14";"Spain is a kingdom, not a republic.";"España es un reino, no una república."
"15";"This app recommends the number of servings from each food category.";"Esta aplicación recomienda el número de raciones de cada categoría de alimento."
"16";"This mansion is very old.";"Esta mansión es muy antigua."
"17";"This is a very serious matter.";"Este es un asunto muy serio."
"18";"This nougat is too hard.";"Este turrón está demasiado duro."
"19";"I'm in the middle of a conversation.";"Estoy en medio de una conversación."
"20";"I'm reading a very interesting article.";"Estoy leyendo un artículo muy interesante."
"21";"I generally go to bed at eleven.";"Generalmente, me acuesto a las once."
"22";"There are two Santander banks in town.";"Hay dos bancos Santander en el pueblo."
"23";"There is a horse in the field.";"Hay un caballo en el campo."
"24";"There is a bad influence on his environment.";"Hay una mala influencia en su entorno."
"25";"Inés depends on her family.";"Inés depende de su familia."
"26";"Jaime wants to be a scientist.";"Jaime quiere ser científico."
"27";"Death is a universal concern.";"La muerte es una preocupación universal."
"28";"Ana's concern is not unfounded.";"La preocupación de Ana no es infundada."
"29";"The recovery will be slow.";"La recuperación será lenta."
"30";"The resistance of every artifact has a limit.";"La resistencia de todo artefacto tiene un límite."
"31";"The store opens at three.";"La tienda abre a las tres."
"32";"What the president is doing is not constitutional.";"Lo que está haciendo el presidente no es constitucional."
"33";"The hosts of the TV show present the news.";"Los anfitriones del programa presentan las noticias."
"34";"Scientists made a great discovery.";"Los científicos hicieron un gran descubrimiento."
"35";"Real bodies are usually not like those you see in advertising.";"Los cuerpos reales no suelen ser como los de la publicidad."
"36";"Matías works in advertising.";"Matías trabaja en publicidad."
"37";"I like to sleep with the radio on.";"Me gusta dormir con la radio encendida."
"38";"I really like your smile.";"Me gusta mucho tu sonrisa."
"39";"I received a private message.";"Me llegó un mensaje privado."
"40";"My father is an actor.";"Mi padre es actor."
"41";"Look at the problem in perspective.";"Mira el problema en perspectiva."
"42";"Look at that landscape, so much beauty!";"Mira ese paisaje, ¡qué belleza!"
"43";"My arms are not very strong.";"Mis brazos no son muy fuertes."
"44";"My parents know that I don't want to be a doctor.";"Mis padres saben que no quiero ser médico."
"45";"Mexico is a North American country.";"México es un país norteamericano."
"46";"I want to redecorate the living room.";"Quiero redecorar el salón."
"47";"The use of fireworks is prohibited.";"Se prohíbe la utilización de fuegos artificiales."
"48";"I am a regular customer of this coffee shop.";"Soy un cliente habitual de esta cafetería."
"49";"Your curiosity knows no bounds.";"Su curiosidad no tiene límites."
"50";"We have some technical problems.";"Tenemos algunos problemas técnicos."
"51";"I have the impression that Amalia is a good girl.";"Tengo la impresión de que Amalia es una buena chica."
"52";"I have to call my mother.";"Tengo que llamar a mi madre."
"53";"I have to finish this essay.";"Tengo que terminar este ensayo."
"54";"I have a physical problem.";"Tengo un problema físico."
"55";"Let's take a picture.";"Tomemos una foto."
"56";"Your intelligence has saved you.";"Tu inteligencia te ha salvado."
"57";"I will accept the job offer.";"Voy a aceptar la oferta de trabajo."
"58";"Do you take credit cards?";"¿Aceptan tarjeta de crédito?"
"59";"What are the benefits of your new job?";"¿Cuáles son los beneficios de tu nuevo empleo?"
"60";"What are your symptoms?";"¿Cuáles son tus síntomas?"
"61";"How is the preparation for the excursion going?";"¿Cómo va la preparación para la excursión?"
"62";"Where did I leave my bag?";"¿Dónde dejé mi bolsa?"
"63";"Can you explain what has happened?";"¿Me puedes explicar qué ha sucedido?"
"64";"Can you take out the trash?";"¿Puedes sacar la basura?"
"65";"What is that sound?";"¿Qué es ese sonido?"
"66";"What does the law establish in this regard?";"¿Qué establece la ley al respecto?"
