"id","word","answer"
"1","adolescent","adolescente"
"2","lover","amante"
"3","analyst","analista"
"4","artist, performer","artista"
"5","candidate, applicant","aspirante"
"6","athlete","atleta"
"7","aide, auxiliary","auxiliar"
"8","helper, assistant","ayudante"
"9","sugar","azúcar"
"10","baby","bebé"
"11","singer","cantante"
"12","scientist","científico"
"13","colleague","colega"
"14","commander, commanding officer","comandante"
"15","merchant, businessperson","comerciante"
"16","fellow countryman","compatriota"
"17","colonel","coronel"
"18","believer, follower","creyente"
"19","accomplice","cómplice"
"20","delinquent","delincuente"
"21","descendant","descendiente"
"22","teacher","docente"
"23","economist","economista"
"24","the lawyer","el abogado"
"25","the hug, embrace","el abrazo"
"26","the grandfather","el abuelo"
"27","the abuse, misuse","el abuso"
"28","the accent, stress","el acento"
"29","the steel","el acero"
"30","the act, action","el acto"
"31","the accord","el acuerdo"
"32","the defendant, accused","el acusado"
"33","the gesture, expression","el ademán"
"34","the decoration, adornment","el adorno"
"35","the adult, grown-up","el adulto"
"36","the affection, fondness","el afecto"
"37","the fan, devotee","el aficionado"
"38","the eagerness, zeal, effort","el afán"
"39","the farmer","el agricultor"
"40","the air, wind, appearance","el aire"
"41","the isolation","el aislamiento"
"42","the alcohol","el alcohol"
"43","the cotton","el algodón"
"44","the food, nourishment","el alimento"
"45","the relief, appeasement, consolation","el alivio"
"46","the lunch","el almuerzo"
"47","the surrounding area, vicinity","el alrededor"
"48","the student, pupil","el alumno"
"49","the environment, atmosphere","el ambiente"
"50","the friend","el amigo"
"51","the protection, shelter","el amparo"
"52","the width","el ancho"
"53","the (finger) ring","el anillo"
"54","the animal","el animal"
"55","the antecedent","el antecedente"
"56","the ancestor","el antepasado"
"57","the analysis","el análisi"
"58","the apartment","el apartamento"
"59","the applause, praise, acclaim","el aplauso"
"60","the contribution","el aporte"
"61","the apostle","el apóstol"
"62","the archive, file, filing cabinet","el archivo"
"63","the arch, arc, bow","el arco"
"64","the argument, plot","el argumento"
"65","the closet, cupboard","el armario"
"66","the arrangement","el arreglo"
"67","the article, product, item","el artículo"
"68","the elevator","el ascensor"
"69","the settlement, colony","el asentamiento"
"70","the murder, assassination","el asesinato"
"71","the killer, assassin","el asesino"
"72","the adviser, consultant","el asesor"
"73","the seat, chair","el asiento"
"74","the aspect, appearance","el aspecto"
"75","the attack, raid","el ataque"
"76","the coffin, casket","el ataúd"
"77","the attribute, quality","el atributo"
"78","the peak, boom","el auge"
"79","the increase, rise","el aumento"
"80","the auto, car","el auto"
"81","the bus","el autobú"
"82","the automobile","el automóvil"
"83","the advance, progress","el avance"
"84","the plane, airplane, aircraft","el avión"
"85","the year","el año"
"86","the dancer","el bailarín"
"87","the dance, ball","el baile"
"88","the ballet","el ballet"
"89","the faction, side","el bando"
"90","the (snack) bar, café","el bar"
"91","the clay, mud","el barro"
"92","the bathroom, bath, swim","el baño"
"93","the benefit, profit","el beneficio"
"94","the kiss","el beso"
"95","the goods, property","el bien"
"96","the well-being, welfare","el bienestar"
"97","the ticket, bill, note","el billete"
"98","the bag, purse","el bolso"
"99","the forest","el bosque"
"100","the boat, container","el bote"
"101","the button","el botón"
"102","the ox","el buey"
"103","the donkey","el burro"
"104","the gentleman, knight","el caballero"
"105","the horse","el caballo"
"106","the corpse, body","el cadáver"
"107","the heat, warmth","el calor"
"108","the change","el cambio"
"109","the field, country","el campo"
"110","the chancellor, ambassador","el canciller"
"111","the candidate","el candidato"
"112","the chaos","el caos"
"113","the capitalism","el capitalismo"
"114","the captain, chief","el capitán"
"115","the snail, shell","el caracol"
"116","the carbon, coal","el carbono"
"117","the cardinal","el cardenal"
"118","the personality, nature","el carácter"
"119","the case, occasion","el caso"
"120","the punishment, penalty","el castigo"
"121","the castle","el castillo"
"122","the cemetery, graveyard","el cementerio"
"123","the cent","el centavo"
"124","the center, middle, downtown","el centro"
"125","the certificate","el certificado"
"126","the check","el cheque"
"127","the boy","el chico"
"128","the joke, funny story","el chiste"
"129","the stream, jet, spurt","el chorro"
"130","the cycle","el ciclo"
"131","the sky, heaven, ceiling","el cielo"
"132","the cigarette","el cigarrillo"
"133","the cigarette, cigar","el cigarro"
"134","the cinema, US movie theater","el cine"
"135","the belt","el cinturón"
"136","the circuit, circumference, track","el circuito"
"137","the citizen","el ciudadano"
"138","the nail, tack, peg","el clavo"
"139","the copper","el cobre"
"140","the car, carriage","el coche"
"141","the coconut","el coco"
"142","the elbow","el codo"
"143","the collaborator","el colaborador"
"144","the collective, group","el colectivo"
"145","the (high) school, college","el colegio"
"146","the collar, necklace","el collar"
"147","the fuel","el combustible"
"148","the dining room","el comedor"
"149","the remark, comment","el comentario"
"150","the commerce, trade","el comercio"
"151","the complex","el complejo"
"152","the component, ingredient","el componente"
"153","the behavior, conduct","el comportamiento"
"154","the composer","el compositor"
"155","the buyer","el comprador"
"156","the communism","el comunismo"
"157","the concept","el concepto"
"158","the competition, gathering","el concurso"
"159","the congress","el congreso"
"160","the consensus, consent","el consenso"
"161","the consumer","el consumidor"
"162","the consumption","el consumo"
"163","the contents, content","el contenido"
"164","the context","el contexto"
"165","the control","el control"
"166","the coordinator, organizer","el coordinador"
"167","the heart, core","el corazón"
