word,answer
english,spanish
0,cero
1,uno
2,dos
3,tres
4,cuatro
5,cinco
6,seis
7,siete
8,ocho
9,nueve
10,diez
11,once
12,doce
13,trece
14,catorce
15,quince
16,dieciséis
17,diecisiete
18,dieciocho
19,diecinueve
20,veinte
21,veintiuno
22,veintidós
23,veintitrés
24,veinticuatro
25,veinticinco
26,veintiséis
27,veintisiete
28,veintiocho
29,veintinueve
30,treinta
31,treinta y uno
32,treinta y dos
33,treinta y tres
41,cuarenta y uno
42,cuarenta y dos
43,cuarenta y tres
53,cincuenta y tres
54,cincuenta y cuatro
55,cincuenta y cinco
65,sesenta y cinco
66,sesenta y seis
67,sesenta y siete
76,setenta y seis
77,setenta y siete
78,setenta y ocho
87,ochenta y siete
88,ochenta y ocho
89,ochenta y nueve
90,noventa
91,noventa y uno
92,noventa y dos
98,noventa y ocho
99,noventa y nueve
100,cien
101,ciento uno
102,ciento dos
103,ciento tres
104,ciento cuatro
105,ciento cinco
106,ciento seis
107,ciento siete
108,ciento ocho
109,ciento nueve
110,ciento diez
120,ciento veinte
130,ciento treinta
140,ciento cuarenta
150,ciento cincuenta
160,ciento sesenta
170,ciento setenta
180,ciento ochenta
190,ciento noventa
200,doscientos
250,doscientos cincuenta
300,trescientos
350,trescientos cincuenta
900,novecientos
950,novecientos cincuenta
1000,mil
