"id";"word";"answer"
"1";"I think my watch is broken.";"Creo que mi reloj está roto."
"2";"You must maintain your dignity.";"Debes mantener tu dignidad."
"3";"You should put sun lotion on your shoulders.";"Debes ponerte loción solar en los hombros."
"4";"The city council prohibited the installation of a club in this neighborhood.";"El ayuntamiento prohibió la instalación de un club en este barrio."
"5";"The scholar year begins in March in the southern hemisphere.";"El año escolar comienza en marzo en el hemisferio sur."
"6";"The heart is an organ.";"El corazón es un órgano."
"7";"Alma's enthusiasm is unmatched.";"El entusiasmo de Alma es inigualable."
"8";"The cat has a long, furry tail.";"El gato tiene una cola larga y peluda."
"9";"The fire was terrible.";"El incendio fue terrible."
"10";"The teacher highlights the good results of the experiment.";"El profesor destaca los buenos resultados del experimento."
"11";"The restaurant is closed on Mondays.";"El restaurante está cerrado los lunes."
"12";"Mr. Martínez is an important businessman.";"El señor Martínez es un importante empresario."
"13";"Tobacco is a legal drug.";"El tabaco es una droga legal."
"14";"They are both specialists in microbiology.";"Ellos dos son especialistas en microbiología."
"15";"Those two are my partners.";"Ellos dos son mis socios."
"16";"At certain times, I feel pain in my back.";"En determinados momentos, siento dolor en mi espalda."
"17";"It is convenient to wait a while before exercising.";"Es conveniente que esperes un rato antes de hacer ejercicio."
"18";"It is logical that you feel frustrated.";"Es lógico que te sientas frustrada."
"19";"It is known that there was a fraud.";"Es sabido que hubo fraude."
"20";"That's a traditional mexican dance.";"Esa es una danza tradicional mexicana."
"21";"This wallet belongs to someone named Sergio Gutiérrez.";"Esta cartera pertenece a alguien llamado Sergio Gutiérrez."
"22";"We are united in this moment of adversity.";"Estamos unidas en este momento de adversidad."
"23";"This car is ideal for an urban setting.";"Este automóvil es ideal para un entorno urbano."
"24";"This laboratory does not experiment with animals.";"Este laboratorio no experimenta con animales."
"25";"I am taking the medicine the doctor prescribed.";"Estoy tomando la medicina que me recetó el médico."
"26";"I'm watching a series about detectives.";"Estoy viendo una serie sobre detectives."
"27";"There are about a dozen youth associations in the city.";"Hay cerca de una docena de asociaciones juveniles en la ciudad."
"28";"There is a sporting event at the stadium.";"Hay un evento deportivo en el estadio."
"29";"There is a store on the corner.";"Hay una tienda en la esquina."
"30";"There was a controversy on television.";"Hubo una polémica en la televisión."
"31";"The Internet generated a radical change in social relations.";"Internet generó un cambio radical en las relaciones sociales."
"32";"Inés wants to wear her pink dress.";"Inés quiere ponerse su vestido rosa."
"33";"Jimena is a very active girl.";"Jimena es una chica muy activa."
"34";"The atmosphere is heavily polluted.";"La atmósfera está muy contaminada."
"35";"The minister ordered the immediate mobilization of resources.";"La ministra ordenó la movilización inmediata de los recursos."
"36";"The president is not going to allow this.";"La presidenta no va a permitir esto."
"37";"The borders are closed.";"Las fronteras están cerradas."
"38";"Laws are necessary.";"Las leyes son necesarias."
"39";"Opinions are not data.";"Las opiniones no son datos."
"40";"Sales in June have been very low.";"Las ventas en junio han sido muy bajas."
"41";"I'm going to show the city to my family.";"Le voy a mostrar la ciudad a mi familia."
"42";"Central banks regulate the economy.";"Los bancos centrales regulan la economía."
"43";"Seat belts save lives.";"Los cinturones de seguridad salvan vidas."
"44";"The Olympic Games are going to start soon.";"Los Juegos Olímpicos van a comenzar en breve."
"45";"Mexicans love good food.";"Los mexicanos aman la buena comida."
"46";"My grandparents call me every Saturday.";"Mis abuelos me llaman todos los sábados."
"47";"My uncles are tomato producers.";"Mis tíos son productores de tomates."
"48";"I don't think the zodiac signs mean anything.";"No creo que los signos del zodíaco signifiquen algo."
"49";"Olivia misses her cousin.";"Olivia extraña a su prima."
"50";"Patrick has a great sensitivity.";"Patricio tiene una gran sensibilidad."
"51";"We will divide the profits in half.";"Repartiremos las ganancias a medias."
"52";"I only read book introduction.";"Solo leí la introducción del libro."
"53";"I am an Argentinian, but I am also a Spanish citizen.";"Soy argentino, pero también soy ciudadano español."
"54";"I have a new goal for this year.";"Tengo una nueva meta para este año."
"55";"Your clothing brand has a lot of prestige.";"Tu marca de ropa tiene mucho prestigio."
"56";"Your sweater is very soft.";"Tu suéter es muy suave."
"57";"Let's start a Scrabble game.";"Vamos a iniciar una partida de Scrabble."
"58";"We are going to sell our house.";"Vamos a vender nuestra casa."
"59";"Let's go to the bar.";"Vamos al bar."
"60";"Do you understand the risks of this investment?";"¿Comprendes los riesgos de la inversión?"
"61";"Do you want to ride the roller coaster?";"¿Quieres subir a la montaña rusa?"
