"id","word","answer"
"1","action","acción"
"2","activity","actividad"
"3","event","acto"
"4","actor","actor"
"5","agreement","acuerdo"
"6","water","agua"
"7","air","aire"
"8","friend","amigo"
"9","love","amor"
"10","animal","animal"
"11","analysis","análisis"
"12","support","apoyo"
"13","art","arte"
"14","artist","artista"
"15","article","artículo"
"16","aspect","aspecto"
"17","subject","asunto"
"18","attention","atención"
"19","author","autor"
"20","authority","autoridad"
"21","year","año"
"22","years","años"
"23","bank","banco"
"24","base","base"
"25","mouth","boca"
"26","head","cabeza"
"27","cape","cabo"
"28","quality","calidad"
"29","street","calle"
"30","change","cambio"
"31","path","camino"
"32","field","campo"
"33","quantity","cantidad"
"34","capacity","capacidad"
"35","capital","capital"
"36","face","cara"
"37","position","cargo"
"38","career","carrera"
"39","letter","carta"
"40","house","casa"
"41","case","caso"
"42","cause","causa"
"43","center","centro"
"44","hundred","ciento"
"45","cinema","cine"
"46","city","ciudad"
"47","class","clase"
"48","color","color"
"49","commission","comisión"
"50","colleague","compañero"
"51","company","compañía"
"52","communication","comunicación"
"53","community","comunidad"
"54","conditions","condiciones"
"55","set","conjunto"
"56","knowledge","conocimiento"
"57","consequence","consecuencia"
"58","advice","consejo"
"59","construction","construcción"
"60","consumption","consumo"
"61","control","control"
"62","thing","cosa"
"63","growth","crecimiento"
"64","crisis","crisis"
"65","account","cuenta"
"66","body","cuerpo"
"67","culture","cultura"
"68","data","dato"
"69","decision","decisión"
"70","department","departamento"
"71","right","derecho"
"72","development","desarrollo"
"73","difference","diferencia"
"74","money","dinero"
"75","address","dirección"
"76","director","director"
"77","doubt","duda"
"78","decade","década"
"79","day","día"
"80","days","días"
"81","dollar","dólar"
"82","economy","economía"
"83","age","edad"
"84","education","educación"
"85","effect","efecto"
"86","example","ejemplo"
"87","company","empresa"
"88","meeting","encuentro"
"89","energy","energía"
"90","disease","enfermedad"
"91","entry","entrada"
"92","team","equipo"
"93","school","escuela"
"94","effort","esfuerzo"
"95","space","espacio"
"96","species","especie"
"97","state","estado"
"98","strategy","estrategia"
"99","structure","estructura"
"100","student","estudiante"
"101","study","estudio"
"102","euro","euro"
"103","ex","ex"
"104","experience","experiencia"
"105","fault","falta"
"106","family","familia"
"107","date","fecha"
"108","figure","figura"
"109","end","fin"
"110","end","final"
"111","background","fondo"
"112","form","forma"
"113","training","formación"
"114","front","frente"
"115","source","fuente"
"116","force","fuerza"
"117","function","función"
"118","future","futuro"
"119","general","general"
"120","people","gente"
"121","government","gobierno"
"122","group","grupo"
"123","war","guerra"
"124","fact","hecho"
"125","brother","hermano"
"126","son","hijo"
"127","history","historia"
"128","man","hombre"
"129","time","hora"
"130","hours","horas"
"131","hospital","hospital"
"132","idea","idea"
"133","image","imagen"
"134","importance","importancia"
"135","information","información"
"136","report","informe"
"137","interest","interés"
"138","research","investigación"
"139","boss","jefe"
"140","youth","joven"
"141","game","juego"
"142","player","jugador"
"143","side","lado"
"144","law","ley"
"145","freedom","libertad"
"146","book","libro"
"147","place","lugar"
"148","light","luz"
"149","line","línea"
"150","mother","madre"
"151","way","manera"
"152","hand","mano"
"153","hands","manos"
"154","sea","mar"
"155","material","material"
"156","majority","mayoría"
"157","morning","mañana"
"158","measure","medida"
"159","middle","medio"
"160","market","mercado"
"161","month","mes"
"162","table","mesa"
"163","metro","metro"
"164","fear","miedo"
"165","member","miembro"
"166","millions","millones"
"167","ministry","ministerio"
"168","minister","ministro"
"169","minute","minuto"
"170","look","mirada"
"171","model","modelo"
"172","mode","modo"
"173","moment","momento"
"174","movement","movimiento"
"175","death","muerte"
"176","woman","mujer"
"177","world","mundo"
"178","doctor","médico"
"179","music","música"
"180","need","necesidad"
"181","business","negocio"
"182","level","nivel"
"183","child","niño"
"184","night","noche"
"185","name","nombre"
"186","number","número"
"187","target","objetivo"
"188","object","objeto"
"189","work","obra"
"190","occasion","ocasión"
"191","eye","ojo"
"192","eyes","ojos"
"193","order","orden"
"194","organization","organización"
"195","source","origen"
"196","patient","paciente"
"197","parent","padre"
"198","word","palabra"
"199","words","palabras"
"200","paper","papel"
"201","part","parte"
"202","participation","participación"
"203","party","partido"
"204","step","paso"
"205","country","país"
"206","film","película"
"207","person","persona"
"208","character","personaje"
"209","weight","peso"
"210","footer","pie"
"211","plan","plan"
"212","plant","planta"
"213","population","población"
"214","power","poder"
"215","police","policía"
"216","policy","política"
"217","possibility","posibilidad"
"218","position","posición"
"219","price","precio"
"220","award","premio"
"221","press","prensa"
"222","presence","presencia"
"223","president","presidente"
"224","principle","principio"
"225","problem","problema"
"226","process","proceso"
"227","production","producción"
"228","product","producto"
"229","professor","profesor"
"230","program","programa"
"231","proposal","propuesta"
"232","project","proyecto"
"233","practice","práctica"
"234","town","pueblo"
"235","door","puerta"
"236","point","punto"
"237","public","público"
"238","reason","razón"
"239","reality","realidad"
"240","resources","recursos"
"241","network","red"
"242","region","región"
"243","relations","relaciones"
"244","relationship","relación"
"245","answer","respuesta"
"246","rest","resto"
"247","result","resultado"
"248","meeting","reunión"
"249","risk","riesgo"
"250","room","sala"
"251","health","salud"
"252","sector","sector"
"253","security","seguridad"
"254","week","semana"
"255","sense","sentido"
"256","being","ser"
"257","series","serie"
"258","service","servicio"
"259","mister","señor"
"260","century","siglo"
"261","silence","silencio"
"262","system","sistema"
"263","site","sitio"
"264","situation","situación"
"265","society","sociedad"
"266","sun","sol"
"267","soil","suelo"
"268","dream","sueño"
"269","afternoon","tarde"
"270","theater","teatro"
"271","technology","tecnología"
"272","television","televisión"
"273","topic","tema"
"274","text","texto"
"275","time","tiempo"
"276","land","tierra"
