word,answer
I walk,yo camino
you walk,tú caminas
he walks,él camina
she walks,ella camina
we walk,nosotros caminamos
you walk (plural),ustedes caminan
they walk,ellos caminan
I look at,yo miro
you look at,tú miras
he looks at,él mira
she looks at,ella mira
we look at,nosotros miramos
you look at (plural),ustedes miran
they look at,ellos miran
I play,yo toco
you play,tú tocas
he plays,él toca
she plays,ella toca
we play,nosotros tocamos
you play (plural),ustedes tocan
they play,ellos tocan
I help,yo ayudo
you help,tú ayudas
he helps,él ayuda
she helps,ella ayuda
we help,nosotros ayudamos
you help (plural),ustedes ayudan
they help,ellos ayudan
I hope,yo espero
you hope,tú esperas
he hopes,él espera
she hopes,ella espera
we hope,nosotros esperamos
you hope (plural),ustedes esperan
they hope,ellos esperan
I leave behind,yo dejo
you leave behind,tú dejas
he leaves behind,él deja
she leaves behind,ella deja
we leave behind,nosotros dejamos
you leave behind (plural),ustedes dejan
they leave behind,ellos dejan
I enter,yo entro
you enter,tú entras
he enters,él entra
she enters,ella entra
we enter,nosotros entramos
you enter (plural),ustedes entran
they enter,ellos entran
I buy,yo compro
you buy,tú compras
he buys,él compra
she buys,ella compra
we buy,nosotros compramos
you buy (plural),ustedes compran
they buy,ellos compran
I take,yo llevo
you take,tú llevas
he takes,él lleva
she takes,ella lleva
we take,nosotros llevamos
you take (plural),ustedes llevan
they take,ellos llevan
I call,yo llamo
you call,tú llamas
he calls,él llama
she calls,ella llama
we call,nosotros llamamos
you call (plural),ustedes llaman
they call,ellos llaman
I work,yo trabajo
you work,tú trabajas
he works,él trabaja
she works,ella trabaja
we work,nosotros trabajamos
you work (plural),ustedes trabajan
they work,ellos trabajan
I pay,yo pago
you pay,tú pagas
he pays,él paga
she pays,ella paga
we pay,nosotros pagamos
you pay (plural),ustedes pagan
they pay,ellos pagan
I need,yo necesito
you need,tú necesitas
he needs,él necesita
she needs,ella necesita
we need,nosotros necesitamos
you need (plural),ustedes necesitan
they need,ellos necesitan
I cook,yo cocino
you cook,tú cocinas
he cooks,él cocina
she cooks,ella cocina
we cook,nosotros cocinamos
you cook (plural),ustedes cocinan
they cook,ellos cocinan
I change,yo cambio
you change,tú cambias
he changes,él cambia
she changes,ella cambia
we change,nosotros cambiamos
you change (plural),ustedes cambian
they change,ellos cambian
I prepare,yo preparo
you prepare,tú preparas
he prepares,él prepara
she prepares,ella prepara
we prepare,nosotros preparamos
you prepare (plural),ustedes preparan
they prepare,ellos preparan
I look for,yo busco
you look for,tú buscas
he looks for,él busca
she looks for,ella busca
we look for,nosotros buscamos
you look for (plural),ustedes buscan
they look for,ellos buscan
I drink,yo tomo
you drink,tú tomas
he drinks,él toma
she drinks,ella toma
we drink,nosotros tomamos
you drink (plural),ustedes toman
they drink,ellos toman
I clean,yo limpio
you clean,tú limpias
he cleans,él limpia
she cleans,ella limpia
we clean,nosotros limpiamos
you clean (plural),ustedes limpian
they clean,ellos limpian
I return,yo regreso
you return,tú regresas
he returns,él regresa
she returns,ella regresa
we return,nosotros regresamos
you return (plural),ustedes regresan
they return,ellos regresan
I ask,yo pregunto
you ask,tú preguntas
he asks,él pregunta
she asks,ella pregunta
we ask,nosotros preguntamos
you ask (plural),ustedes preguntan
they ask,ellos preguntan
I visit,yo visito
you visit,tú visitas
he visits,él visita
she visits,ella visita
we visit,nosotros visitamos
you visit (plural),ustedes visitan
they visit,ellos visitan
I use,yo uso
you use,tú usas
he uses,él usa
she uses,ella usa
we use,nosotros usamos
you use (plural),ustedes usan
they use,ellos usan
I speak,yo hablo
you speak,tú hablas
he speaks,él habla
she speaks,ella habla
we speak,nosotros hablamos
you speak (plural),ustedes hablan
they speak,ellos hablan
