


"Neighborhood Festival";"Festival del Barrio"
"I save money every week because our neighborhood festival is coming.";"Ahorro dinero cada semana porque ya viene el festival del barrio."
"We rent a small booth in the plaza, and everyone in the group helps with something.";"Rentamos un puestecito en la plaza y todos en el grupo ayudan con algo."
"People dance in the street, and we look for the best music.";"La gente baila en la calle y nosotros buscamos la mejor música."
"Sometimes the weather changes, but we still walk through the crowd with big smiles.";"A veces el clima cambia, pero igual caminamos entre la gente con sonrisas grandes."
"Today the organizer cancels one activity, so we cook extra food to keep the energy high.";"Hoy el organizador cancela una actividad, así que cocinamos comida extra para mantener la energía."
"At the end of the night, we buy sweet bread from a local baker.";"Al final de la noche compramos pan dulce de un panadero local."
"Tomorrow, we are going to dance again.";"Mañana vamos a bailar otra vez."
"The kids are going to look for new decorations.";"Los niños van a buscar decoraciones nuevas."
"And I am going to save more money because next week the festival grows even bigger.";"Y voy a ahorrar más dinero porque la próxima semana el festival crece todavía más."

-----

"The Weekend Plan";"El Plan para el Fin de Semana"
"We save money during the week for a small trip.";"Ahorramos dinero durante la semana para un viajecito."
"My friends rent a cabin near the lake.";"Mis amigos rentan una cabaña cerca del lago."
"I help them carry the bags.";"Los ayudo a cargar las bolsas."
"People dance outside because the weather is nice.";"La gente baila afuera porque el clima está bonito."
"We look for a good place to sit.";"Buscamos un buen lugar para sentarnos."
"The sky changes from blue to orange.";"El cielo cambia de azul a naranja."
"We walk along the water slowly.";"Caminamos junto al agua despacio."
"They cancel the boat ride because it gets windy.";"Cancelan el paseo en lancha porque se pone ventoso."
"We cook simple food on a small stove.";"Cocinamos comida sencilla en una estufita."
"At night we buy hot chocolate from a vendor.";"En la noche compramos chocolate caliente de un vendedor."

-----

"The Busy Market";"El Mercado Ajetreado"
"I save money to buy fresh fruit at the market.";"Ahorro dinero para comprar fruta fresca en el mercado."
"Vendors rent small spaces along the street.";"Los vendedores rentan espacios pequeños a lo largo de la calle."
"They help customers find what they need.";"Ayudan a los clientes a encontrar lo que necesitan."
"Musicians dance a little while they play.";"Los músicos bailan tantito mientras tocan."
"We look for the stand with the best mangoes.";"Buscamos el puesto con los mejores mangos."
"The prices change every season.";"Los precios cambian cada temporada."
"We walk slowly because the market is crowded.";"Caminamos despacio porque el mercado está lleno."
"One vendor cancels his stand for the day.";"Un vendedor cancela su puesto por el día."
"Families cook snacks on small grills.";"Las familias cocinan antojitos en parrillas pequeñas."
"I buy a bag of warm tortillas before leaving.";"Compro una bolsa de tortillas calientitas antes de irme."

-----

"The Neighborhood Party";"La Fiesta del Vecindario"
"We save money to decorate the street for the party.";"Ahorramos dinero para decorar la calle para la fiesta."
"Neighbors rent speakers and colorful lights.";"Los vecinos rentan bocinas y luces de colores."
"Everyone helps set up the tables.";"Todos ayudan a acomodar las mesas."
"Kids dance in the middle of the street.";"Los niños bailan en medio de la calle."
"Parents look for chairs for the grandparents.";"Los papás buscan sillas para los abuelos."
"The music changes from slow to fast.";"La música cambia de lenta a rápida."
"We walk around greeting every family.";"Caminamos saludando a cada familia."
"They cancel the raffle because the tickets get lost.";"Cancelan la rifa porque se pierden los boletos."
"People cook big pots of food for everyone.";"La gente cocina ollas grandes de comida para todos."
"At the end we buy ice cream from a small cart.";"Al final compramos helado de un carrito."

-----




"The Small Art Fair";"La Pequeña Feria de Arte"
"We answer questions from visitors at the art fair.";"Respondemos preguntas de los visitantes en la feria de arte."
"Artists rest under the shade because the sun is strong.";"Los artistas descansan bajo la sombra porque el sol está fuerte."
"A young girl draws a tiny house with bright colors.";"Una niña dibuja una casita con colores brillantes."
"The fair begins early in the morning.";"La feria empieza temprano en la mañana."
"People enter the tents to see the paintings.";"La gente entra a las carpas para ver las pinturas."
"We send photos to friends who couldn’t come.";"Mandamos fotos a amigos que no pudieron venir."
"Musicians listen to each other to stay in rhythm.";"Los músicos se escuchan entre ellos para mantener el ritmo."
"I wait for the music to start again.";"Espero a que la música empiece otra vez."
"They study the map of the fair to find every booth.";"Ellos estudian el mapa de la feria para encontrar cada puesto."
"A volunteer explains where the food area is.";"Un voluntario explica dónde está la zona de comida."

-----

"A Slow Afternoon at Home";"Una Tarde Tranquila en Casa"
"I answer a short message from my friend.";"Contesto un mensajito de mi amigo."
"We rest on the couch after a long morning.";"Descansamos en el sillón después de una mañana larga."
"My sister draws small flowers in her notebook.";"Mi hermana dibuja flores pequeñas en su cuaderno."
"Lunch begins when everyone arrives.";"La comida empieza cuando todos llegan."
"Neighbors enter the house to say hello.";"Los vecinos entran a la casa para saludar."
"I send a picture of the meal to my family.";"Mando una foto de la comida a mi familia."
"We listen to soft music while we eat.";"Escuchamos música suave mientras comemos."
"She waits for a call from her cousin.";"Ella espera una llamada de su prima."
"They study quietly at the table.";"Ellos estudian en silencio en la mesa."
"My dad explains a joke, and everyone laughs.";"Mi papá explica un chiste y todos se ríen."

-----

"The Library Morning";"La Mañana en la Biblioteca"
"The librarian answers every question with a smile.";"La bibliotecaria responde cada pregunta con una sonrisa."
"Students rest in the reading area.";"Los estudiantes descansan en el área de lectura."
