"id";"word";"answer"
"1";"Hi, how are you?";"Hola, ¿cómo estás?"
"2";"Good, thanks. And you?";"Bien, gracias. ¿Y tú?"
"3";"Good too. I’m David.";"Bien también. Soy David."
"4";"Nice to meet you. I’m Luis.";"Mucho gusto. Soy Luis."
"5";"Nice to meet you.";"Mucho gusto."
"6";"Do you live here?";"¿Vives aquí?"
"7";"No, I live nearby.";"No, vivo cerca."
"8";"Ah, okay.";"Ah, ok."
"9";"Do you like this area?";"¿Te gusta esta zona?"
"10";"Yes, a lot.";"Sí, mucho."
"11";"Well, I’m going.";"Bueno, me voy."
"12";"Sure. Take care.";"Claro. Que te vaya bien."
"13";"Thanks, you too.";"Gracias, igual."
