"I open the small door.";"(yo) abro la puerta pequeña"
"You open the narrow drawer. [sing, inf]";"(tú) abres el cajón angosto"
"He lives in the quiet house.";"(él) vive en la casa tranquila"
"We live near the tall building.";"(nosotros) vivimos cerca del edificio alto"
"You write a short message. [sing, formal]";"(usted) escribe un mensaje corto"
"You write clear notes daily. [pl]";"(ustedes) escriben notas claras"
"I receive the heavy box.";"(yo) recibo la caja pesada"
"She receives the long letter.";"(ella) recibe la carta larga"
"You decide the simple option. [sing, inf]";"(tú) decides la opción simple"
"We decide the final plan.";"(nosotros) decidimos el plan final"
"You describe the bright room. [sing, formal]";"(usted) describe el cuarto brillante"
"You describe the quiet garden. [pl]";"(ustedes) describen el jardín tranquilo"
"I allow a short visit.";"(yo) permito una visita corta"
"He allows the small change.";"(él) permite el cambio pequeño"
"I admit my small error.";"(yo) admito mi error pequeño"
"You admit the clear truth. [pl]";"(ustedes) admiten la verdad clara"
"She attends the early class.";"(ella) asiste a la clase temprana"
"We attend the local event.";"(nosotros) asistimos al evento local"
"I share the warm bread.";"(yo) comparto el pan tibio"
"You share the blue folder. [sing, inf]";"(tú) compartes la carpeta azul"
"He fulfills the simple goal.";"(él) cumple la meta simple"
"You fulfill the daily task. [pl]";"(ustedes) cumplen la tarea diaria"
"I insist on the clear rule.";"(yo) insisto en la regla clara"
"You insist on the final point. [sing, formal]";"(usted) insiste en el punto final"
"We join the small group.";"(nosotros) unimos al grupo pequeño"
"You join the new team. [pl]";"(ustedes) unen al equipo nuevo"
"I go up the narrow stairs.";"(yo) subo las escaleras angostas"
"You go up the steep hill. [sing, inf]";"(tú) subes la colina empinada"
"She prints the long report.";"(ella) imprime el informe largo"
"We print the simple form.";"(nosotros) imprimimos el formulario simple"
"I omit the extra detail.";"(yo) omito el detalle extra"
"You omit the final line. [sing, formal]";"(usted) omite la línea final"
"He departs from the busy station.";"(él) parte de la estación ocupada"
"You depart from the quiet stop. [pl]";"(ustedes) parten de la parada tranquila"
"I discover the hidden door.";"(yo) descubro la puerta oculta"
"You discover the old tunnel. [sing, inf]";"(tú) descubres el túnel viejo"
"We discuss the short topic.";"(nosotros) discutimos el tema corto"
"You discuss the new idea. [pl]";"(ustedes) discuten la idea nueva"
"I cover the warm pot.";"(yo) cubro la olla tibia"
"She covers the clean bowl.";"(ella) cubre el tazón limpio"
