"id";"word";"answer"
"1";"María works at a small bakery.";"María trabaja en una panadería pequeña."
"2";"She understands what customers need.";"Ella comprende lo que los clientes necesitan."
"3";"Every morning she eats breakfast early.";"Cada mañana ella come el desayuno temprano."
"4";"Then she drinks strong coffee.";"Luego bebe café fuerte."
"5";"Does she believe in quality ingredients?";"¿Ella cree en ingredientes de calidad?"
"6";"Yes, she believes only fresh flour matters.";"Sí, ella cree que solo la harina fresca importa."
"7";"María reads the shopping list carefully.";"María lee la lista de compras con cuidado."
"8";"The suppliers run to deliver ingredients.";"Los proveedores corren para entregar ingredientes."
"9";"They respond quickly to her phone call.";"Responden rápidamente a su llamada telefónica."
"10";"We eat the croissants she bakes.";"Comemos los croissants que ella hornea."
"11";"You drink the special chocolate she makes.";"Tú bebes el chocolate especial que ella hace."
"12";"I learn her secret recipe methods.";"Aprendo sus métodos secretos de receta."
"13";"She sells fresh pastries every morning.";"Ella vende pasteles frescos cada mañana."
"14";"Why do customers run to her bakery?";"¿Por qué los clientes corren a su panadería?"
"15";"Because they understand her work is excellent.";"Porque comprenden que su trabajo es excelente."
"16";"We sweep the kitchen after closing time.";"Barremos la cocina después de cerrar."
"17";"She reads customer reviews with satisfaction.";"Ella lee reseñas de clientes con satisfacción."
"18";"He drinks coffee while eating breakfast.";"Él bebe café mientras come el desayuno."
"19";"Does the baker believe success comes easily?";"¿La panadería cree que el éxito viene fácil?"
"20";"No, she believes hard work makes success.";"No, ella cree que el trabajo duro hace éxito."
"21";"They run errands across the whole town.";"Corren mandados por todo el pueblo."
"22";"I understand why customers return daily here.";"Entiendo por qué los clientes regresan diariamente aquí."
"23";"You sell the best pastries in the region.";"Vendes los mejores pasteles en la región."
"24";"She sweeps carefully between the tables.";"Ella barre cuidadosamente entre las mesas."
"25";"We believe success comes from hard work.";"Creemos que el éxito viene del trabajo duro."
"26";"He learns the secret family recipe today.";"Él aprende la receta secreta de la familia hoy."
"27";"They eat the warm bread with joy.";"Comen el pan caliente con alegría."
"28";"María sells her bakery to her apprentice.";"María vende su panadería a su aprendiz."
"29";"The community responds with celebration and tears.";"La comunidad responde con celebración y lágrimas."
"30";"Her legacy continues through delicious daily bread.";"Su legado continúa a través del pan delicioso diario."
