"Title: The Afternoon Class";"La Clase de la Tarde"
"Students absorb the teacher’s explanation.";"Los estudiantes absorben la explicación de la maestra."
"I learn slowly but steadily.";"Aprendo despacio pero seguro."
"You sweep your desk area before leaving.";"Barres tu área del escritorio antes de irte."
"We drink cold water after running laps.";"Bebemos agua fría después de correr vueltas."
"They eat sandwiches during the break.";"Ellos comen sándwiches durante el descanso."
"She commits to studying more this week.";"Ella se compromete a estudiar más esta semana."
"He understands the math problem now.";"Él comprende el problema de matemáticas ahora."
"We run to the bus when class ends.";"Corremos al camión cuando termina la clase."
"The answers correspond to the examples.";"Las respuestas corresponden a los ejemplos."
"Tomorrow I am going to believe in my progress.";"Mañana voy a creer en mi progreso."
