"Hi, David. How are you today? Happy or sad?";"Hola, David. ¿Cómo estás hoy? ¿Feliz o triste?"
"Hi, Carlos. I am happy, not sad. And you?";"Hola, Carlos. Estoy feliz, no triste. ¿Y tú?"
"I am calm, not angry.";"Yo estoy calmado, no enojado."
"Do you live near or far from here?";"¿Vives cerca o lejos de aquí?"
"I live near. My house is big, not small.";"Vivo cerca. Mi casa es grande, no pequeña."
"I live far. My house is small, not big.";"Yo vivo lejos. Mi casa es pequeña, no grande."
"Is your house clean or dirty today?";"¿Tu casa está limpia o sucia hoy?"
"It is clean, not dirty. And yours?";"Está limpia, no sucia. ¿Y la tuya?"
"Mine is a little messy, not tidy.";"La mía está un poco desordenada, no ordenada."
"Do you have a young or old dog?";"¿Tienes un perro joven o viejo?"
"I have a young dog, not an old one.";"Tengo un perro joven, no viejo."
"I have an old cat, not a young one.";"Yo tengo un gato viejo, no joven."
"Is your cat fat or skinny?";"¿Tu gato es gordo o delgado?"
"He is fat, not skinny.";"Es gordo, no delgado."
"My dog is skinny, not fat.";"Mi perro es delgado, no gordo."
"Is your street safe or dangerous?";"¿Tu calle es segura o peligrosa?"
"It is safe, not dangerous.";"Es segura, no peligrosa."
"Mine is a little dangerous, not safe.";"La mía es un poco peligrosa, no segura."
"Do you have a lot of food at home? Is your fridge full or empty?";"¿Tienes mucha comida en casa? ¿Está tu refri lleno o vacío?"
"It is full, not empty.";"Está lleno, no vacío."
"Mine is empty, not full.";"El mío está vacío, no lleno."
"Are you eating hot or cold food today?";"¿Comes comida caliente o fría hoy?"
"I eat hot food, not cold.";"Como comida caliente, no fría."
"I eat cold food, not hot.";"Yo como comida fría, no caliente."
"Are you an energetic or lazy person today?";"¿Eres una persona energética o floja hoy?"
"Today I am energetic, not lazy.";"Hoy soy energético, no flojo."
"I am a little lazy, not energetic.";"Yo estoy un poco flojo, no energético."
"Is your job easy or difficult?";"¿Tu trabajo es fácil o difícil?"
"It is easy, not difficult.";"Es fácil, no difícil."
"Mine is difficult, not easy.";"El mío es difícil, no fácil."
"Well, I’m leaving now. I walk fast, not slow.";"Bueno, me voy ahora. Camino rápido, no lento."
"Alright. Goodbye, my friend. I have a slow day, not a fast one.";"Está bien. Adiós, amigo. Tengo un día lento, no rápido."
