id;word;answer
"1";"She dances at the big party.";"(ella) Baila en la fiesta grande."
"2";"She changes her small room.";"(ella) Cambia su cuarto pequeño."
"3";"She enters the quiet house.";"(ella) Entra a la casa tranquila."
"4";"She wins the small prize.";"(ella) Gana el premio pequeño."
"5";"She carries the heavy box.";"(ella) Lleva la caja pesada."
"6";"She shows the small photo.";"(ella) Muestra la foto pequeña."
"7";"She pays the bus fare.";"(ella) Paga el pasaje del autobús."
"8";"She stays in the warm room.";"(ella) Queda en el cuarto cálido."
"9";"She plays the small guitar.";"(ella) Toca la guitarra pequeña."
"10";"She uses a red notebook.";"(ella) Usa un cuaderno rojo."
"11";"We dance in the warm room.";"(nosotros) Bailamos en el cuarto cálido."
"12";"We look for the lost keys.";"(nosotros) Buscamos las llaves perdidas."
"13";"We cancel the noisy event.";"(nosotros) Cancelamos el evento ruidoso."
"14";"We cook a simple soup.";"(nosotros) Cocinamos una sopa simple."
"15";"We rest in the cool shade.";"(nosotros) Descansamos en la sombra fresca."
"16";"We wait in the warm room.";"(nosotros) Esperamos en el cuarto cálido."
"17";"We study basic math today.";"(nosotros) Estudiamos matemáticas básicas hoy."
"18";"We wash the clean plates.";"(nosotros) Lavamos los platos limpios."
"19";"We arrive very early.";"(nosotros) Llegamos muy temprano."
"20";"We carry the travel bags.";"(nosotros) Llevamos las bolsas de viaje."
"21";"We show the city map.";"(nosotros) Mostramos el mapa de la ciudad."
"22";"We need a quiet place.";"(nosotros) Necesitamos un lugar tranquilo."
"23";"We forget the short list.";"(nosotros) Olvidamos la lista corta."
"24";"We practice the short dialogue.";"(nosotros) Practicamos el diálogo corto."
"25";"We prepare the dinner table.";"(nosotros) Preparamos la mesa de cena."
"26";"We stay in this house.";"(nosotros) Quedamos en esta casa."
"27";"We finish the simple task.";"(nosotros) Terminamos la tarea simple."
"28";"We play soft music together.";"(nosotros) Tocamos música suave juntos."
"29";"We use this wooden table.";"(nosotros) Usamos esta mesa de madera."
"30";"You save money monthly. [sing, inf]";"(tú) Ahorras dinero cada mes."
"31";"You buy a fresh apple. [sing, inf]";"(tú) Compras una manzana fresca."
