"id","word","answer"
"1","to","a"
"2","now","ahora"
"3","to the","al"
"4","before","antes"
"5","like this / like that / this way","así"
"6","even though / even if","aunque"
"7","year","año"
"8","years","años"
"9","well / good","bien"
"10","each","cada"
"11","with","con"
"12","when","cuándo"
"13","how","cómo"
"14","of / from","de"
"15","of the / from the","del"
"16","from","desde"
"17","after","después"
"18","said","dijo"
"19","two","dos"
"20","during","durante"
"21","day","día"
"22","where","dónde"
"23","and (before i)","e"
"24","the [M, sing]","el"
"25","she","ella"
"26","in / on / at","en"
"27","between / among","entre"
"28","he was / she was / it was","era"
"29","is","es"
"30","that [F]","esa"
"31","that [M]","ese"
"32","that [neutral]","eso"
"33","this [F]","esta"
"34","state / status","estado"
"35","this [M]","este"
"36","is","está"
"37","was","fue"
"38","government","gobierno"
"39","big (before noun)","gran"
"40","has [aux]","ha"
"41","there was / there were","había"
"42","it’s been / ago","hace"
"43","they have [aux]","han"
"44","until","hasta"
"45","there is / there are","hay"
"46","the [F, sing]","la"
"47","the [F, pl]","las"
"48","him / her","le"
"49","the [neutral]","lo"
"50","the [M or mixed group, pl]","los"
"51","me","me"
"52","less","menos"
"53","my","mi"
"54","same [M]","mismo"
"55","world","mundo"
"56","very","muy"
"57","more / plus","más"
"58","nor","ni"
"59","no / not","no"
"60","us","nos"
"61","or","o"
"62","another / other / another one [F]","otra"
"63","other / another / another one [M]","otro"
"64","others / other [pl]","otros"
"65","for / to","para"
"66","a part of / some of the","parte"
"67","country","país"
"68","but","pero"
"69","for / because of","por"
"70","because","porque"
"71","he can / she can / it can","puede"
"72","that, which","que"
"73","what","qué"
"74","according to","según"
"75","to be","ser"
"76","if","si"
"77","been","sido"
"78","always","siempre"
"79","without","sin"
"80","about / above / on top of","sobre"
"81","only / alone / just","solo"
"82","they are","son"
"83","his / her / their [sing obj]","su"
"84","his / her / their [pl obj]","sus"
"85","yes","sí"
"86","also / too / as well","también"
"87","so","tan"
"88","so much","tanto"
"89","you","te"
"90","time / weather","tiempo"
"91","he has / she has / it has","tiene"
"92","all / everything","todo"
"93","all / everyone","todos"
"94","three","tres"
"95","a [M, sing]","un"
"96","a [F, sing]","una"
"97","one","uno"
"98","time","vez"
"99","life","vida"
"100","and","y"
"101","now / already / yet","ya"
"102","I","yo"
"103","he","él"
