"Title: The Strange Morning";"La Mañana Extraña"
"We protect the plants from the cold air.";"Protegemos las plantas del aire frío."
"I respond to a message from my neighbor.";"Respondo un mensaje de mi vecino."
"She goes back to the kitchen to check the stove.";"Ella retrocede a la cocina para revisar la estufa."
"He breaks a small branch by accident.";"Él rompe una ramita por accidente."
"They surprise us with warm bread.";"Ellos nos sorprenden con pan calientito."
"Strange things happen when the weather changes fast.";"Cosas extrañas suceden cuando el clima cambia rápido."
"You suspend your walk because it starts to rain.";"Suspendes tu caminata porque empieza a llover."
"I fear the storm a little.";"Temo un poco a la tormenta."
"The kids cough from the cold wind.";"Los niños tosen por el viento frío."
"Tomorrow we are going to sell hot chocolate at the park.";"Mañana vamos a vender chocolate caliente en el parque."
