"id";"word";"answer"
"1";"Title: The Workshop That Fell Apart";"El Taller Que Se Desmoronó"
"2";"An inexperienced volunteer drops the heavy toolbox.";"Un voluntario inexperto deja caer la caja pesada."
"3";"A wise instructor steadies the shaking table.";"Un instructor sabio estabiliza la mesa temblorosa."
"4";"A foolish mistake scatters the metal pieces everywhere.";"Un error necio dispersa las piezas metálicas por todas partes."
"5";"A smart student organizes the scattered tools quickly.";"Un estudiante listo organiza las herramientas dispersas rápidamente."
"6";"A responsible leader checks the safety equipment carefully.";"Un líder responsable revisa el equipo de seguridad cuidadosamente."
"7";"We are going to guide the ignorant newcomer.";"Vamos a guiar al recién llegado ignorante."
"8";"A talented builder demonstrates the correct technique.";"Un constructor talentoso demuestra la técnica correcta."
"9";"An honest assistant reports the missing parts.";"Un asistente honesto reporta las piezas faltantes."
"10";"A stupid shortcut nearly damages the wooden frame.";"Un atajo tonto casi daña el marco de madera."
"11";"A skilled carpenter repairs the loosened joints.";"Un carpintero hábil repara las uniones flojas."
"12";"We are going to support the unskilled trainee.";"Vamos a apoyar al aprendiz inhábil."
"13";"An expert craftsperson evaluates the crooked beam.";"Un artesano experto evalúa la viga torcida."
"14";"A novice helper hands over fresh nails.";"Un ayudante novato entrega clavos nuevos."
"15";"A gifted designer sketches the improved layout.";"Un diseñador dotado dibuja el diseño mejorado."
"16";"A professional builder measures each angle precisely.";"Un constructor profesional mide cada ángulo con precisión."
"17";"We are going to correct the illogical blueprint.";"Vamos a corregir el plano ilógico."
"18";"An amateur volunteer paints the first coat.";"Un voluntario aficionado pinta la primera capa."
"19";"An intelligent planner adjusts the final schedule.";"Un planificador inteligente ajusta el horario final."
"20";"An irresponsible action delays the final assembly.";"Una acción irresponsable retrasa el ensamblaje final."
"21";"I am going to finish the restored project.";"Voy a terminar el proyecto restaurado."
