"id";"word";"answer"
"1";"Title: Evening At The Art Class";"Noche En La Clase De Arte"
"2";"I cut thin strips of paper.";"Corto tiras delgadas de papel."
"3";"You cross the room to grab your brushes. [sing, formal]";"Cruza el cuarto para agarrar sus pinceles."
"4";"We cover the floor with newspaper.";"Cubrimos el piso con periódico."
"5";"They dedicate time to practice shading.";"Dedican tiempo a practicar sombras."
"6";"I define the shape with a light sketch.";"Defino la forma con un boceto ligero."
"7";"You leave your backpack near the door. [sing, inf]";"Dejas tu mochila cerca de la puerta."
"8";"We depend on good lighting.";"Dependemos de una buena iluminación."
"9";"They describe the scene they want to paint.";"Describen la escena que quieren pintar."
"10";"You discover a new color mix. [pl]";"Descubren una mezcla de color nueva."
"11";"We determine the final palette.";"Determinamos la paleta final."
"12";"I cast out the dirty water from the cup.";"Echo el agua sucia del vaso."
"13";"They elaborate a detailed background.";"Elaboran un fondo detallado."
"14";"You use soft strokes for the sky. [sing, formal]";"Emplea trazos suaves para el cielo."
"15";"We confront a challenge with the shadows.";"Enfrentamos un reto con las sombras."
"16";"They show their paintings proudly.";"Enseñan sus pinturas con orgullo."
"17";"I avoid using too much paint.";"Evito usar demasiada pintura."
"18";"You exist in the class list for tonight. [sing, inf]";"Existes en la lista de la clase de hoy."
"19";"We express our ideas about color.";"Expresamos nuestras ideas sobre el color."
"20";"They skip one detail to save time.";"Faltan a un detalle para ahorrar tiempo."
"21";"You post your finished work on the board. [pl]";"Fijan su trabajo terminado en el tablero."
"22";"I sign my name in the corner.";"Firmo mi nombre en la esquina."
"23";"We form a circle to share feedback.";"Formamos un círculo para compartir comentarios."
"24";"They work well with the new brushes.";"Funcionan bien con los pinceles nuevos."
"25";"You win a small applause for your piece. [sing, formal]";"Gana un pequeño aplauso por su pieza."
"26";"I guarantee the next class will be fun.";"Garantizo que la próxima clase será divertida."
"27";"They are going to cover the paintings to dry.";"Van a cubrir las pinturas para que se sequen."
"28";"You are going to describe your process later. [sing, inf]";"Vas a describir tu proceso más tarde."
"29";"We are going to celebrate the finished work.";"Vamos a celebrar el trabajo terminado."
