"Title: Evening At The Community Center";"Noche En El Centro Comunitario"
"I result responsible for the art table."; "Resulto responsable de la mesa de arte."
"You withdraw the paints from the cabinet. [sing, formal]"; "Retira las pinturas del gabinete."
"We are going to gather everyone for announcements."; "Vamos a reunir a todos para los avisos."
"They reveal the theme for tonight."; "Revelan el tema de esta noche."
"You go around the room greeting people. [sing, inf]"; "Rodeas el cuarto saludando a la gente."
"I break a pencil by accident."; "Rompo un lápiz por accidente."
"We take out the brushes and paper."; "Sacamos los pinceles y el papel."
"They separate the materials by type."; "Separan los materiales por tipo."
"You are going to point out the rules soon. [pl]"; "Van a señalar las reglas pronto."
"We mean to create a calm environment."; "Significamos crear un ambiente tranquilo."
"They locate the music speaker."; "Situan la bocina de música."
"I submit the attendance sheet."; "Someto la hoja de asistencia."
"You request more chairs for the group. [sing, inf]"; "Solicitas más sillas para el grupo."
"We sound the bell to start."; "Sonamos la campana para comenzar."
"They surprise us with creative ideas."; "Sorprenden con ideas creativas."
"You go up the small stage to share your work. [sing, formal]"; "Sube al pequeño escenario para compartir su trabajo."
"We suffer a bit of noise from outside."; "Sufrimos un poco de ruido de afuera."
"They add color to every corner."; "Suman color a cada rincón."
"I am going to go beyond my usual style."; "Voy a superar mi estilo de siempre."
"You throw away the used paper. [pl]"; "Tiran el papel usado."
"We touch up the final details."; "Tocamos los detalles finales."
"They transform the room with decorations."; "Transforman el cuarto con decoraciones."
"You try a new technique tonight. [sing, inf]"; "Tratas una técnica nueva esta noche."
"We locate the missing markers."; "Ubicamos los marcadores perdidos."
"They are going to join the photo at the end."; "Van a unir a la foto al final."
