"id";"word";"answer"
"1";"to drink (tea, milk, beer) [+ D.O.]";"beber"
"2";"to walk (to some place)";"caminar"
"3";"to sing (a song) [+ D.O.]";"cantar"
"4";"to cook [+ D.O.]";"cocinar"
"5";"to eat [+ D.O.]";"comer"
"6";"to buy [+ D.O.]";"comprar"
"7";"to shop (for clothes, etc.)";"comprar"
"8";"to know (people/places)";"conocer"
"9";"to give [+ I.O., requires a recipient]";"dar"
"10";"to say / to tell [irregular, stem‑changing: e→i, yo‑go verb, + I.O., information goes to someone]";"decir"
"11";"to sleep [stem‑changing: o→ue]";"dormir"
"12";"to shower [reflexive]";"duchar[se]"
"13";"to understand [stem‑changing: e→ie]";"entender"
"14";"to write (poetry, etc.) [+ D.O.]";"escribir"
"15";"to be [location, temporary state, emotion, ongoing action]";"estar"
"16";"to photograph / to take photos of [+ D.O.]";"fotografiar"
"17";"to like [+ I.O., works like 'to be pleasing to']";"gustar"
"18";"to speak";"hablar"
"19";"to do [irregular, yo‑go verb]";"hacer"
"20";"to make [irregular, yo‑go verb]";"hacer"
"21";"to exercise";"hacer ejercicio"
"22";"to go [irregular]";"ir"
"23";"to read (a book) [+ D.O.]";"leer"
"24";"to call (phone) [+ I.O., call a person]";"llamar"
"25";"to arrive";"llegar"
"26";"to carry (something) [+ D.O.]";"llevar"
"27";"to wear (a coat, etc.) [+ D.O.]";"llevar"
"28";"to drive (a car)";"manejar"
"29";"to swim (in the ocean, pool)";"nadar"
"30";"to need";"necesitar"
"31";"to hear (a sound, music) [irregular]";"oír"
"32";"to pay [+ D.O.]";"pagar"
"33";"to be able to [stem‑changing: o→ue]";"poder"
"34";"to put [irregular, yo‑go verb]";"poner"
"35";"to ask (a question) [+ I.O., ask a person, not 'a question']";"preguntar"
"36";"to program computers [+ D.O.]";"programar"
"37";"to want [stem‑changing: e→ie]";"querer"
"38";"to know (facts/skills) [irregular]";"saber"
"39";"to leave / to go out [irregular, yo‑go verb]";"salir"
"40";"to be [identity, origin, permanent traits, time/date]";"ser"
"41";"to have [irregular, yo‑go verb]";"tener"
"42";"to text (someone) [+ I.O., message goes to a person]";"textear"
"43";"to play (guitar, piano) [+ D.O.]";"tocar"
"44";"to take / to drink [+ D.O.]";"tomar"
"45";"to bring [irregular, yo‑go verb]";"traer"
"46";"to come [irregular, stem‑changing: e→ie, yo‑go verb]";"venir"
"47";"to see [irregular]";"ver"
"48";"to travel";"viajar"
"49";"to visit (a place) [+ D.O.]";"visitar"
"50";"to live";"vivir"
