"id";"word";"answer"
"1";"Title: Afternoon At The Park Event";"Tarde En El Evento Del Parque"
"2";"I result in charge of the sign‑up table.";" ""Resulto a cargo de la mesa de registro."""
"3";"You are going to withdraw the cones after the race. [pl]";" ""Van a retirar los conos después de la carrera."""
"4";"We gather the kids for the next activity.";" ""Reunimos a los niños para la siguiente actividad."""
"5";"They reveal the surprise prize.";" ""Revelan el premio sorpresa."""
"6";"I am going to go around the field to check safety.";" ""Voy a rodear el campo para revisar la seguridad."""
"7";"You break a cookie while opening the bag. [sing, inf]";" ""Rompes una galleta al abrir la bolsa."""
"8";"We take out the balls for the game.";" ""Sacamos las pelotas para el juego."""
"9";"They separate into teams quickly.";" ""Se separan en equipos rápidamente."""
"10";"You point out the starting line. [sing, formal]";" ""Señala la línea de inicio."""
"11";"We are going to mean a lot to the kids today.";" ""Vamos a significar mucho para los niños hoy."""
"12";"They locate the water station near the trees.";" ""Situan el puesto de agua cerca de los árboles."""
"13";"I request a few more volunteers.";" ""Solicito unos voluntarios más."""
"14";"You submit your name for the raffle. [pl]";" ""Someten su nombre para la rifa."""
"15";"We sound the whistle to begin.";" ""Sonamos el silbato para empezar."""
"16";"They surprise us with how fast they run.";" ""Sorprenden con lo rápido que corren."""
"17";"You are going to go up the hill for photos. [sing, inf]";" ""Vas a subir la colina para las fotos."""
"18";"We suffer a bit from the heat.";" ""Sufrimos un poco por el calor."""
"19";"They add points to the scoreboard.";" ""Suman puntos al marcador."""
"20";"I go beyond my usual energy today.";" ""Supero mi energía de siempre hoy."""
"21";"You throw away the empty cups. [sing, formal]";" ""Tira los vasos vacíos."""
"22";"We touch the trophy for good luck.";" ""Tocamos el trofeo para la buena suerte."""
"23";"They transform the park into a festival.";" ""Transforman el parque en un festival."""
"24";"You try the last activity of the day. [pl]";" ""Tratan la última actividad del día."""
"25";"I am going to locate the coordinator now.";" ""Voy a ubicar al coordinador ahora."""
"26";"We join the final celebration.";" ""Unimos a la celebración final."""
