"id";"word";"answer"
"1";"she attends";"(ella) asiste"
"2";"she covers";"(ella) cubre"
"3";"she prints";"(ella) imprime"
"4";"she receives";"(ella) recibe"
"5";"we attend";"(nosotros) asistimos"
"6";"we decide";"(nosotros) decidimos"
"7";"we discuss";"(nosotros) discutimos"
"8";"we print";"(nosotros) imprimimos"
"9";"we join";"(nosotros) unimos"
"10";"we live";"(nosotros) vivimos"
"11";"you open [sing, inf]";"(tú) abres"
"12";"you share [sing, inf]";"(tú) compartes"
"13";"you decide [sing, inf]";"(tú) decides"
"14";"you discover [sing, inf]";"(tú) descubres"
"15";"you go up [sing, inf]";"(tú) subes"
"16";"you describe [sing, formal]";"(usted) describe"
"17";"you write [sing, formal]";"(usted) escribe"
"18";"you insist [sing, formal]";"(usted) insiste"
"19";"you omit [sing, formal]";"(usted) omite"
"20";"you admit [pl]";"(ustedes) admiten"
"21";"you fulfill [pl]";"(ustedes) cumplen"
"22";"you describe [pl]";"(ustedes) describen"
"23";"you discuss [pl]";"(ustedes) discuten"
"24";"you write [pl]";"(ustedes) escriben"
"25";"you depart [pl]";"(ustedes) parten"
"26";"you join [pl]";"(ustedes) unen"
"27";"I open";"(yo) abro"
"28";"I admit";"(yo) admito"
"29";"I share";"(yo) comparto"
"30";"I cover";"(yo) cubro"
"31";"I discover";"(yo) descubro"
"32";"I insist";"(yo) insisto"
"33";"I omit";"(yo) omito"
"34";"I allow";"(yo) permito"
"35";"I receive";"(yo) recibo"
"36";"I go up";"(yo) subo"
"37";"he fulfills";"(él) cumple"
"38";"he departs";"(él) parte"
"39";"he allows";"(él) permite"
"40";"he lives";"(él) vive"
