"id","word","answer"
"1","activity","actividad"
"2","current","actual"
"3","air","aire"
"4","after","al cabo de"
"5","tall [M]","alto"
"6","both","ambos"
"7","previous","anterior"
"8","those [M]","aquellos"
"9","art","arte"
"10","attention","atención"
"11","base / foundation / basis","base"
"12","good [after noun]","bueno"
"13","quality","calidad"
"14","capacity / ability","capacidad"
"15","capital","capital"
"16","face","cara"
"17","character / nature","carácter"
"18","central","central"
"19","close / near","cerca"
"20","community","comunidad"
"21","Congress","congreso"
"22","advise / council","consejo"
"23","control","control"
"24","culture","cultura"
"25","given","dado"
"26","data","datos"
"27","they must/should / you must/should [pl]","deben"
"28","other / the rest / the others","demas"
"29","ten","diez"
"30","different [pl]","diferentes"
"31","difficult / hard","difícil"
"32","address / direction","dirección"
"33","Economy","economía"
"34","age","edad"
"35","education","educación"
"36","effect","efecto"
"37","companies","empresas"
"38","space","espacio"
"39","special","especial"
"40","they were / you (ustedes) were","estaban"
"41","we are","estamos"
"42","study / studying","estudio"
"43","it exists","existe"
"44","figure / shape","figura"
"45","back / background","fondo"
"46","strength [pl]","fuerzas"
"47","future","futuro"
"48","groups","grupos"
"49","I did / he did / she did / it did","hacía"
"50","I/he/she/it have [subj aux]","haya"
"51","idea","idea"
"52","picture / image","imagen"
"53","interest","interés"
"54","research / investigation","investigación"
"55","to go","ir"
"56","boss [M]","jefe"
"57","young","joven"
"58","July","julio"
"59","freedom / liberty","libertad"
"60","he arrived / she arrived / it arrived","llegó"
"61","a half of / half a [F]","media"
"62","through / by means of","mediante"
"63","measure / measurement / action","medida"
"64","media / means / mediums","medios"
"65","month","mes"
"66","members","miembros"
"67","military","militar"
"68","movement","movimiento"
"69","necessary","necesario"
"70","need / necessity","necesidad"
"71","no / none [F]","ninguna"
"72","child / kid [M] / boy","niño"
"73","our [M, pl]","nuestros"
"74","new [F, pl]","nuevas"
"75","new [M, pl]","nuevos"
"76","organization","organización"
"77","paper / role","papel"
"78","peace","paz"
"79","personal","personal"
"80","population","población"
"81","possibility","posibilidad"
"82","press","prensa"
"83","first [M, pl]","primeros"
"84","beginning / principle / start","principio"
"85","soon","pronto"
"86","points / dots","puntos"
"87","relationships / relations","relaciones"
"88","results","resultados"
"89","health","salud"
"90","sector","sector"
"91","series","serie"
"92","services","servicios"
"93","being","siendo"
"94","you continue / he continues / she continues / it continues","sigue"
"95","next / following","siguiente"
"96","social / social [pl]","sociales"
"97","I am","soy"
"98","university / college","universidad"
"99","use / I use","uso"
"100","value","valor"
"101","seen","visto"
