id,word,answer
502,"to justify, excuse {-ar}",justificar
503,to judge {-ar},juzgar
504,to regret {-ar},lamentar
505,"to throw, launch {-ar}",lanzar
506,"to let go, start out {-ar}",largar
507,"to hurt, damage {-ar}",lastimar
508,to beat (as in a heart) {-ir},latir
509,"to raise, lift {-ar}",levantar
510,"to free, liberate {-ar}",liberar
511,"to liberate, set free {-ar}",librar
512,"to license, discharge {-ar}",licenciar
513,"to lead, head {-ar}",liderar
514,"to tie, link, bind {-ar}",ligar
515,to limit {-ar},limitar
516,to fill {-ar},llenar
517,to cry {-ar},llorar
518,"to locate, find, localize {-ar}",localizar
519,"to achieve, get, manage {-ar}",lograr
520,"to fight, wrestle {-ar}",luchar
521,"to mature, ripen {-ar}",madurar
522,"to send, order {-ar}",mandar
523,"to express, show {-ar}",manifestar
524,"to manipulate, handle {-ar}",manipular
525,"to mark, note, dial {-ar}",marcar
526,"to go, leave, march {-ar}",marchar
527,to kill {-ar},matar
528,"to meditate, ponder {-ar}",meditar
529,"to improve, get better {-ar}",mejorar
530,to put [into] {-er},meter
531,to mix {-ar},mezclar
532,to modify {-ar},modificar
533,"to make wet, dampen {-ar}",mojar
534,"to ride, mount, assemble {-ar}",montar
535,"to motivate, cause {-ar}",motivar
536,to mobilize {-ar},movilizar
537,"to move, change {-ar}",mudar
538,to multiply {-ar},multiplicar
539,"to murmur, whisper, mutter {-ar}",murmurar
540,to swim {-ar},nadar
541,"to narrate, tell {-ar}",narrar
542,"to navigate, sail {-ar}",navegar
543,"to negotiate with, deal with {-ar}",negociar
544,"to name, appoint {-ar}",nombrar
545,to notice {-ar},notar
546,"to obligate, force {-ar}",obligar
547,to observe {-ar},observar
548,"to occasion, bring about {-ar}",ocasionar
549,to hide {-ar},ocultar
550,"to occupy, use {-ar}",ocupar
551,to hate {-ar},odiar
552,to offend {-er},ofender
553,to forget {-ar},olvidar
554,to operate {-ar},operar
555,"to think, be of the opinion {-ar}",opinar
556,"to choose, opt for {-ar}",optar
557,"to pray, speak {-ar}",orar
558,"to put in order, organize {-ar}",ordenar
559,to organize {-ar},organizar
560,"to guide, show the way {-ar}",orientar
561,"to give rise to, cause {-ar}",originar
562,oscillate {-ar},oscilar
563,"to give, grant, award {-ar}",otorgar
564,"to feel, touch, fondle {-ar}",palpar
565,to stop (moving) {-ar},parar
566,to give birth {-ir},parir
567,to participate {-ar},participar
568,"to divide, leave {-ir}",partir
569,"to go for a walk, ride {-ar}",pasear
570,to sin {-ar},pecar
571,to hit {-ar},pegar
572,"to fight, struggle {-ar}",pelear
573,"to penetrate, come in {-ar}",penetrar
574,"to perceive, notice {-ir}",percibir
575,"to forgive, excuse {-ar}",perdonar
576,to perfect {-ar},perfeccionar
577,to endanger {-ar},perjudicar
578,to persist {-ir},persistir
579,to weigh {-ar},pesar
580,to fish {-ar},pescar
581,"to bite, sting, itch {-ar}",picar
582,"to capture, catch {-ar}",pillar
583,to paint {-ar},pintar
584,to step on {-ar},pisar
585,to plan {-ar},planear
586,to plan {-ar},planificar
587,to plant {-ar},plantar
588,"to propose, present {-ar}",plantear
589,"to express, capture {-ar}",plasmar
590,"to talk, chat {-ar}",platicar
591,"to behave, carry {-ar}",portar
592,"to rest, pose, land {-ar}",posar
593,"to possess, own {-er}",poseer
594,"to postulate, nominate {-ar}",postular
595,"to strengthen, boost {-ar}",potenciar
596,to practice {-ar},practicar
597,to precede {-er},preceder
598,"to plunge, hurl, rush {-ar}",precipitar
599,"to do exactly, specify {-ar}",precisar
600,to preach {-ar},predicar
601,to predominate {-ar},predominar
