"id";"word";"answer"
"1";"Title: The Evening Walk";"La Caminata de la Tarde"
"2";"We look at the sky as the sun goes down.";"Miramos el cielo mientras baja el sol."
"3";"She shows her dog the path to follow.";"Ella le muestra a su perro el camino a seguir."
"4";"They need a short break after climbing the hill.";"Ellos necesitan un descanso después de subir la colina."
"5";"He forgets his water bottle again.";"Él olvida su botella de agua otra vez."
"6";"I pay for a cold drink at a small stand.";"Pago por una bebida fría en un puestecito."
"7";"You practice slow breathing as you walk.";"Practicas respiración lenta mientras caminas."
"8";"We ask a question about the trail distance.";"Preguntamos sobre la distancia del sendero."
"9";"They prepare a quick snack on a bench.";"Ellos preparan un bocadillo rápido en una banca."
"10";"Only a little daylight remains.";"Solo queda un poco de luz del día."
"11";"Later we are going to remember this peaceful moment.";"Más tarde vamos a recordar este momento tranquilo."
