"I open";"(yo) abro"
"you open [sing, inf]";"(tú) abres"
"he lives";"(él) vive"
"we live";"(nosotros) vivimos"
"you write [sing, formal]";"(usted) escribe"
"you write [pl]";"(ustedes) escriben"
"I receive";"(yo) recibo"
"she receives";"(ella) recibe"
"you decide [sing, inf]";"(tú) decides"
"we decide";"(nosotros) decidimos"
"you describe [sing, formal]";"(usted) describe"
"you describe [pl]";"(ustedes) describen"
"I allow";"(yo) permito"
"he allows";"(él) permite"
"I admit";"(yo) admito"
"you admit [pl]";"(ustedes) admiten"
"she attends";"(ella) asiste"
"we attend";"(nosotros) asistimos"
"I share";"(yo) comparto"
"you share [sing, inf]";"(tú) compartes"
"he fulfills";"(él) cumple"
"you fulfill [pl]";"(ustedes) cumplen"
"I insist";"(yo) insisto"
"you insist [sing, formal]";"(usted) insiste"
"we join";"(nosotros) unimos"
"you join [pl]";"(ustedes) unen"
"I go up";"(yo) subo"
"you go up [sing, inf]";"(tú) subes"
"she prints";"(ella) imprime"
"we print";"(nosotros) imprimimos"
"I omit";"(yo) omito"
"you omit [sing, formal]";"(usted) omite"
"he departs";"(él) parte"
"you depart [pl]";"(ustedes) parten"
"I discover";"(yo) descubro"
"you discover [sing, inf]";"(tú) descubres"
"we discuss";"(nosotros) discutimos"
"you discuss [pl]";"(ustedes) discuten"
"I cover";"(yo) cubro"
"she covers";"(ella) cubre"
